name	is_canonical
0808y08y	False
1-8D	False
1-8U	False
1-Cys	True
1/2-SBSRNA4	False
10-fTHF	False
101F10.1	False
101F6	False
103AS	False
10C	False
11B6	False
12-HETER	False
123F2	False
12CC4	False
12R-LOX	False
12S	False
12S-LOX	False
133K02	False
13CDNA73	False
14-3-3	False
14-3-3-zeta	False
14-3-3GAMMA	False
14-3-3γ	False
14.1	False
14q(0)	False
14q(I)	False
14q(I-1)	False
14q(I-2)	False
14q(I-3)	False
14q(I-4)	False
14q(I-5)	False
14q(I-6)	False
14q(I-7)	False
14q(I-8)	False
14q(I-9)	False
14q(II)	False
14q(II-1)	False
14q(II-10)	False
14q(II-11)	False
14q(II-12)	False
14q(II-13)	False
14q(II-14)	False
14q(II-15)	False
14q(II-16)	False
14q(II-17)	False
14q(II-18)	False
14q(II-19)	False
14q(II-2)	False
14q(II-20)	False
14q(II-21)	False
14q(II-22)	False
14q(II-23)	False
14q(II-24)	False
14q(II-25)	False
14q(II-26)	False
14q(II-27)	False
14q(II-28)	False
14q(II-29)	False
14q(II-3)	False
14q(II-30)	False
14q(II-31)	False
14q(II-4)	False
14q(II-5)	False
14q(II-6)	False
14q(II-7)	False
14q(II-8)	False
14q(II-9)	False
15-LOX-1	False
15-LOX-2	False
15.212	False
15.5K	False
156DAG	False
15E1.2	False
16.1	False
16.2	False
16.3A5	False
16A	False
16E1BP	False
16S	False
17-1A	False
17-BETA-HSD11	False
17-BETA-HSDXI	False
1700010H15RiK	True
1700024P04Rik	False
170A	False
17b-HSD10	False
182-FIP	False
183ActI	False
18A2	False
19A	False
1A1-3B	False
1A6/DRIM	False
1C7	False
1D	False
1R20	False
2'-PDE	False
2-19	False
2-21	False
2-COP	False
2-HPCL	False
209L8	False
20D7-FC4	False
21-GARP	False
225	False
2310005P21Rik	False
2310047H23Rik	False
239AB	False
239FB	False
24b2	False
24p3	False
2610509L04Rik	False
26RFa	False
2700066J21Rik	False
277P12.9	False
28H	False
2A9	False
2B28	False
2B4	False
2C18	False
2C4D	False
2E4	False
2F1	False
2G7	False
2H9	False
2HOR0202	False
2OST	False
2P1	False
2PP2A	False
3'HEXO	False
3'OY11.1	False
3'aHIF-1A	False
3-10C	False
3-HAO	False
3-OST-5	True
3-PAP	False
3-alpha-HSD	False
30K	False
30ST3A1	False
30ST3B1	False
323/A3	False
354J5	False
3635	False
37LRP	False
384D8-2	False
39K2	False
3D3	False
3G2	False
3H11Ag	False
3M3	False
3OST1	False
3OST2	False
3OST3A1	False
3OST3B1	False
3OST4	False
3PAP	False
3PK	False
3alpha-HSD	False
3pK	False
4-1BB	False
4-1BB-L	False
4-1BBL	False
4-HPPD	False
4-HPPD-L	False
4.1-G	False
4.1B	False
4.1G	False
4.1N	False
4.1R	False
42A	False
42C	False
47.11	False
4832404P21Rik	False
4833431A01Rik	False
4930513O09RIK	False
4933409D10Rik	True
4E-BP1	False
4E-BP3	False
4E-T	False
4EHP	False
4F-se9[6:7:8]	False
4F2	False
4F2HC	False
4F5	False
4F5REL	False
4HPPD	False
4P11	False
4T2HC	False
5'OY11.1	False
5'aHIF-1A	False
5-HT(2B)	False
5-HT1A	False
5-HT1B	False
5-HT1D	False
5-HT1DB	False
5-HT1E	False
5-HT1F	False
5-HT2A	False
5-HT2B	False
5-HT2C	False
5-HT3A	False
5-HT3B	False
5-HT3C2	False
5-HT3R	False
5-HT4	False
5-HT5A	False
5-HT5B	False
5-HT6	False
5-HT6R	False
5-HT7	False
5-HTT	False
5-LOX	False
5-Opase	False
51A	False
52	False
53BP1	False
53BP2	False
54TM	False
59-DAP	False
59K	False
5HTR2C	False
5MP1	False
5MP2	False
5PTASE	False
5T4	False
5T4-AG	False
6-16	False
6.3	False
6.8PL	False
60B8AG	False
60H	False
64kD	False
6530404F10Rik	False
6530406P05Rik	False
6A3-5	False
6C6-Ag	False
6Ckine	False
6H9A	False
6PGL	False
7-60	False
71-7A	False
