name	is_canonical
5S_rRNA	True
5_8S_rRNA	True
7SK	True
A1BG	True
A1BG-AS1	True
A1CF	True
A2M	True
A2M-AS1	True
A2ML1	True
A2ML1-AS1	True
A2ML1-AS2	True
A2MP1	True
A3GALT2	True
A4GALT	True
A4GNT	True
AA06	True
AAAS	True
AACS	True
AACSP1	True
AADAC	True
AADACL2	True
AADACL2-AS1	True
AADACL3	True
AADACL4	True
AADACP1	True
AADAT	True
AAGAB	True
AAK1	True
AAMDC	True
AAMP	True
AANAT	True
AAR2	True
AARD	True
AARS1	True
AARS1P1	True
AARS2	True
AARSD1	True
AARSD1P1	True
AASDH	True
AASDHPPT	True
AASS	True
AATBC	True
AATF	True
AATK	True
ABALON	True
ABAT	True
ABCA1	True
ABCA10	True
ABCA11P	True
ABCA12	True
ABCA13	True
ABCA15P	True
ABCA17P	True
ABCA2	True
ABCA3	True
ABCA3P1	True
ABCA4	True
ABCA5	True
ABCA6	True
ABCA7	True
ABCA8	True
ABCA9	True
ABCA9-AS1	True
ABCB1	True
ABCB10	True
ABCB10P1	True
ABCB10P3	True
ABCB10P4	True
ABCB11	True
ABCB4	True
ABCB5	True
ABCB6	True
ABCB7	True
ABCB8	True
ABCB9	True
ABCC1	True
ABCC10	True
ABCC11	True
ABCC12	True
ABCC13	True
ABCC2	True
ABCC3	True
ABCC4	True
ABCC5	True
ABCC5-AS1	True
ABCC6	True
ABCC6P1	True
ABCC6P2	True
ABCC8	True
ABCC9	True
ABCD1	True
ABCD1P2	True
ABCD1P3	True
ABCD1P4	True
ABCD1P5	True
ABCD2	True
ABCD3	True
ABCD4	True
ABCE1	True
ABCF1	True
ABCF2	True
ABCF2-H2BK1	True
ABCF2P1	True
ABCF2P2	True
ABCF3	True
ABCG1	True
ABCG2	True
ABCG4	True
ABCG5	True
ABCG8	True
ABHD1	True
ABHD10	True
ABHD11	True
ABHD12	True
ABHD12B	True
ABHD13	True
ABHD14A	True
ABHD14A-ACY1	True
ABHD14B	True
ABHD15	True
ABHD15-AS1	True
ABHD16A	True
ABHD16B	True
ABHD17A	True
ABHD17AP1	True
ABHD17AP3	True
ABHD17AP4	True
ABHD17AP5	True
ABHD17AP6	True
ABHD17AP7	True
ABHD17AP8	True
ABHD17AP9	True
ABHD17B	True
ABHD17C	True
ABHD18	True
ABHD2	True
ABHD3	True
ABHD4	True
ABHD5	True
ABHD6	True
ABHD8	True
ABI1	True
ABI1P1	True
ABI2	True
ABI3	True
ABI3BP	True
ABITRAM	True
ABITRAMP1	True
ABL1	True
ABL2	True
ABLIM1	True
ABLIM2	True
ABLIM3	True
ABO	True
ABR	True
ABR-AS1	True
ABRA	True
ABRACL	True
ABRAXAS1	True
ABRAXAS1P1	True
ABRAXAS1P2	True
ABRAXAS2	True
ABT1	True
ABT1P1	True
ABTB1	True
ABTB2	True
ABTB3	True
ACAA1	True
ACAA2	True
ACAA2P1	True
ACACA	True
ACACB	True
ACAD10	True
ACAD11	True
ACAD8	True
ACAD9	True
ACAD9-DT	True
ACADL	True
ACADM	True
ACADS	True
ACADSB	True
ACADVL	True
ACAN	True
ACAP1	True
ACAP2	True
ACAP2-IT1	True
ACAP3	True
ACAT1	True
ACAT2	True
ACBD3	True
ACBD3-AS1	True
ACBD4	True
ACBD5	True
ACBD6	True
ACBD7	True
ACCS	True
ACCSL	True
ACCSLP1	True
ACD	True
ACE	True
ACE2	True
ACE2-DT	True
ACE3P	True
ACER1	True
ACER2	True
ACER2P1	True
ACER3	True
ACHE	True
ACIN1	True
ACKR1	True
ACKR2	True
ACKR3	True
ACKR4	True
ACKR4P1	True
ACLY	True
ACMSD	True
ACNATP	True
ACO1	True
ACO2	True
ACOD1	True
ACOT1	True
ACOT11	True
ACOT12	True
ACOT13	True
ACOT2	True
ACOT4	True
ACOT6	True
ACOT7	True
ACOT8	True
ACOT9	True
ACOX1	True
ACOX2	True
ACOX3	True
ACOXL	True
ACOXL-AS1	True
ACP1	True
ACP2	True
ACP3	True
ACP4	True
ACP5	True
ACP6	True
ACP7	True
ACR	True
ACRBP	True
ACRP1	True
ACRV1	True
ACSBG1	True
ACSBG2	True
ACSF2	True
ACSF3	True
ACSL1	True
ACSL3	True
ACSL3-AS1	True
ACSL3P1	True
ACSL4	True
ACSL5	True
ACSL6	True
ACSL6-AS1	True
ACSM1	True
ACSM2A	True
ACSM2B	True
ACSM3	True
ACSM4	True
ACSM5	True
ACSM5P1	True
ACSM6	True
ACSS1	True
ACSS2	True
ACSS3	True
ACTA1	True
ACTA2	True
ACTA2-AS1	True
ACTB	True
ACTBL2	True
ACTBP1	True
ACTBP11	True
ACTBP12	True
ACTBP14	True
ACTBP15	True
ACTBP16	True
ACTBP2	True
ACTBP4	True
ACTBP6	True
ACTBP7	True
ACTBP8	True
ACTBP9	True
ACTC1	True
ACTE1P	True
ACTG1	True
ACTG1P1	True
ACTG1P10	True
ACTG1P11	True
ACTG1P12	True
ACTG1P13	True
ACTG1P14	True
ACTG1P15	True
ACTG1P16	True
ACTG1P17	True
ACTG1P18	True
ACTG1P19	True
ACTG1P2	True
ACTG1P20	True
ACTG1P21	True
ACTG1P22	True
ACTG1P23	True
ACTG1P24	True
ACTG1P25	True
ACTG1P3	True
ACTG1P4	True
ACTG1P9	True
ACTG2	True
ACTL10	True
ACTL11P	True
ACTL6A	True
ACTL6B	True
ACTL7A	True
ACTL7B	True
ACTL8	True
ACTL9	True
ACTMAP	True
ACTN1	True
ACTN1-DT	True
ACTN2	True
ACTN3	True
ACTN4	True
ACTN4P1	True
ACTN4P2	True
ACTP1	True
ACTR10	True
ACTR1A	True
ACTR1AP1	True
ACTR1B	True
ACTR2	True
ACTR3	True
ACTR3-AS1	True
ACTR3B	True
ACTR3BP1	True
ACTR3BP2	True
ACTR3BP3	True
ACTR3BP4	True
ACTR3BP5	True
ACTR3BP6	True
ACTR3BP7	True
ACTR3C	True
ACTR3P2	True
ACTR3P3	True
ACTR5	True
ACTR6	True
ACTR6P1	True
ACTR8	True
ACTRT1	True
ACTRT1P1	True
ACTRT2	True
ACTRT3	True
ACVR1	True
ACVR1B	True
ACVR1C	True
ACVR2A	True
ACVR2B	True
ACVR2B-AS1	True
ACVRL1	True
ACY1	True
ACY3	True
ACYP1	True
ACYP2	True
ADA	True
ADA2	True
ADAD1	True
ADAD1P1	True
ADAD1P2	True
ADAD2	True
ADAL	True
ADAM10	True
ADAM11	True
ADAM12	True
ADAM15	True
ADAM17	True
ADAM18	True
ADAM19	True
ADAM1A	True
ADAM1B	True
ADAM2	True
ADAM20	True
ADAM20P1	True
ADAM20P2	True
ADAM20P3	True
ADAM21	True
ADAM21P1	True
ADAM22	True
ADAM23	True
ADAM24P	True
ADAM28	True
ADAM29	True
ADAM30	True
ADAM32	True
ADAM33	True
ADAM3A	True
ADAM3B	True
ADAM5	True
ADAM6	True
ADAM7	True
ADAM7-AS1	True
ADAM7-AS2	True
ADAM8	True
ADAM9	True
ADAMDEC1	True
ADAMTS1	True
ADAMTS10	True
ADAMTS12	True
ADAMTS13	True
ADAMTS14	True
ADAMTS15	True
ADAMTS16	True
ADAMTS16-DT	True
ADAMTS17	True
ADAMTS18	True
ADAMTS19	True
ADAMTS19-AS1	True
ADAMTS2	True
ADAMTS20	True
ADAMTS3	True
ADAMTS4	True
ADAMTS5	True
ADAMTS6	True
ADAMTS7	True
ADAMTS7P1	True
ADAMTS7P3	True
ADAMTS7P4	True
ADAMTS8	True
ADAMTS9	True
ADAMTS9-AS1	True
ADAMTS9-AS2	True
ADAMTSL1	True
ADAMTSL2	True
ADAMTSL3	True
ADAMTSL4	True
ADAMTSL4-AS1	True
ADAMTSL4-AS2	True
ADAMTSL5	True
ADAP1	True
ADAP2	True
ADAR	True
ADARB1	True
ADARB2	True
ADARB2-AS1	True
ADAT1	True
ADAT2	True
ADAT3	True
ADCK1	True
ADCK2	True
ADCK5	True
ADCY1	True
ADCY10	True
ADCY10P1	True
ADCY2	True
ADCY3	True
ADCY4	True
ADCY5	True
ADCY6	True
ADCY6-DT	True
ADCY7	True
ADCY8	True
ADCY9	True
ADCYAP1	True
ADCYAP1R1	True
ADD1	True
ADD2	True
ADD3	True
ADD3-AS1	True
ADGB	True
ADGB-DT	True
ADGRA1	True
ADGRA1-AS1	True
ADGRA2	True
ADGRA3	True
ADGRA3P1	True
ADGRB1	True
ADGRB2	True
ADGRB3	True
ADGRB3-DT	True
ADGRD1	True
ADGRD1-AS1	True
ADGRD2	True
ADGRE1	True
ADGRE2	True
ADGRE3	True
ADGRE4P	True
ADGRE5	True
ADGRF1	True
ADGRF2P	True
ADGRF3	True
ADGRF4	True
ADGRF5	True
ADGRF5-AS1	True
ADGRF5P1	True
ADGRF5P2	True
ADGRG1	True
ADGRG2	True
ADGRG3	True
ADGRG4	True
ADGRG5	True
ADGRG6	True
ADGRG7	True
