HGNC ID	Approved symbol	Previous symbols	Alias symbols	RefSeq IDs	Ensembl gene ID
HGNC:5	A1BG			NM_130786	ENSG00000121410
HGNC:37133	A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	NR_015380	ENSG00000268895
HGNC:24086	A1CF		ACF, ASP, ACF64, ACF65, APOBEC1CF	NM_014576	ENSG00000148584
HGNC:6	A1S9T				
HGNC:7	A2M		FWP007, S863-7, CPAMD5	NM_000014	ENSG00000175899
HGNC:27057	A2M-AS1			NR_026971	ENSG00000245105
HGNC:23336	A2ML1	CPAMD9	FLJ25179, p170	NM_144670	ENSG00000166535
HGNC:41022	A2ML1-AS1				ENSG00000256661
HGNC:41523	A2ML1-AS2				ENSG00000256904
HGNC:8	A2MP1	A2MP		NG_001067	ENSG00000256069
HGNC:9	A2MR				
HGNC:10	A2MRAP				
HGNC:30005	A3GALT2	A3GALT2P	IGBS3S, IGB3S	NM_001080438	ENSG00000184389
HGNC:18149	A4GALT	P1	A14GALT, Gb3S, P(k)	NM_017436	ENSG00000128274
HGNC:17968	A4GNT		alpha4GnT	NM_016161	ENSG00000118017
HGNC:1	A12M1				
HGNC:2	A12M2				
HGNC:3	A12M3				
HGNC:4	A12M4				
HGNC:11	AA	AA			
HGNC:13666	AAAS				ENSG00000094914
HGNC:12	AABT				
HGNC:13	AAC1				
HGNC:14	AAC2				
HGNC:21298	AACS		FLJ12389, SUR-5, ACSF1	NM_023928	ENSG00000081760
HGNC:18226	AACSP1	AACSL		NR_024035	ENSG00000250420
HGNC:13792	AACT				
HGNC:17	AADAC		DAC, CES5A1	NM_001086	ENSG00000114771
HGNC:24427	AADACL2		MGC72001	NM_207365	ENSG00000197953
HGNC:50301	AADACL2-AS1				ENSG00000242908
HGNC:32037	AADACL3		OTTHUMG00000001887	NM_001103170	ENSG00000188984
HGNC:32038	AADACL4		OTTHUMG00000001889	NM_001013630	ENSG00000204518
HGNC:50305	AADACP1				ENSG00000240602
HGNC:17929	AADAT		KATII, KAT2, KYAT2	NM_016228	ENSG00000109576
HGNC:25662	AAGAB		FLJ11506, p34	NM_024666	ENSG00000103591
HGNC:19679	AAK1		KIAA1048, DKFZp686K16132	NM_014911	ENSG00000115977
HGNC:30205	AAMDC	C11orf67	PTD015, FLJ21035, CK067	NM_024684	ENSG00000087884
HGNC:18	AAMP			NM_001087	ENSG00000127837
HGNC:19	AANAT		SNAT	NM_001088	ENSG00000129673
HGNC:15886	AAR2	C20orf4	bA234K24.2	NM_015511	ENSG00000131043
HGNC:33842	AARD	C8orf85	LOC441376	NM_001025357	ENSG00000205002
HGNC:20	AARS1	AARS	CMT2N, AlaRS	NM_001605	ENSG00000090861
HGNC:49894	AARS1P1	AARSP1			ENSG00000249038
HGNC:21022	AARS2	AARSL	KIAA1270, bA444E17.1	NM_020745	ENSG00000124608
HGNC:28417	AARSD1		MGC2744, AlaXp	NM_001261434	ENSG00000266967
HGNC:54994	AARSD1P1				ENSG00000234969
HGNC:23993	AASDH		NRPS998, LYS2, ACSF4	NM_181806	ENSG00000157426
HGNC:14235	AASDHPPT		LYS5, CGI-80, AASD-PPT, ACPS	NM_015423	ENSG00000149313
HGNC:17366	AASS		LORSDH, LKRSDH, LKR/SDH	NM_005763	ENSG00000008311
HGNC:51526	AATBC			NR_026961	ENSG00000215458
