from	to
0610005C13Rik	NR_038165
0610005C13Rik	NR_038166
0610006L08Rik	XR_391624
0610006L08Rik	XR_391626
0610006L08Rik	XR_004934286
0610009E02Rik	NR_152208
0610009E02Rik	NR_152209
0610009E02Rik	NR_152207
0610009L18Rik	NR_038126
0610010K14Rik	NM_001177603
0610010K14Rik	NM_026757
0610010K14Rik	NM_001177606
0610010K14Rik	XM_030245456
0610010K14Rik	XM_017314213
0610010K14Rik	XR_003949208
0610010K14Rik	NM_001177601
0610010K14Rik	XR_003949207
0610010K14Rik	NM_145758
0610010K14Rik	NM_001177607
0610012D04Rik	XR_004939621
0610012D04Rik	XR_001782166
0610012D04Rik	XR_004939622
0610025J13Rik	XR_376450
0610025J13Rik	XR_376451
0610030E20Rik	XM_132614
0610030E20Rik	XM_006506534
0610031O16Rik	NR_045760
0610038B21Rik	NR_028125
0610039H22Rik	NR_131025
0610039K10Rik	NR_028113
0610040B10Rik	NR_027874
0610040F04Rik	NR_040757
0610040F04Rik	NR_104577
0610040J01Rik	NM_001417898
0610040J01Rik	NM_001417899
0610040J01Rik	NM_029554
0610040J01Rik	NM_001417897
0610040J01Rik	NM_001417900
0610042G04Rik	XR_004935722
0610043K17Rik	NR_040640
1100001I12Rik	XR_383959
1110002E22Rik	NM_001370862
1110002E22Rik	XM_030252339
1110002J07Rik	NR_138560
1110002J07Rik	NR_138561
1110002L01Rik	NR_030694
1110002O04Rik	XR_373311
1110002O04Rik	XR_373312
1110004F10Rik	NM_019772
1110004F10Rik	NM_001418530
1110004F10Rik	NM_001418534
1110004F10Rik	NM_001418531
1110004F10Rik	NR_184777
1110004F10Rik	NM_001418533
1110004F10Rik	NR_184776
1110004F10Rik	XM_030242811
1110004F10Rik	NR_184775
1110004F10Rik	NM_001418532
1110006O24Rik	NR_027810
1110015O18Rik	NR_045272
1110018N20Rik	NR_190069
1110018N20Rik	NR_190072
1110018N20Rik	NR_190071
1110018N20Rik	NR_190070
1110018N20Rik	NR_190073
1110019D14Rik	NR_045995
1110020A21Rik	NR_027930
1110020A21Rik	XM_148821
1110025M09Rik	XM_036159678
1110028F11Rik	NR_045139
1110028F18Rik	NR_045470
1110032F04Rik	NM_001167996
1110036E04Rik	NR_040713
1110038B12Rik	NR_015536
1110038B12Rik	NR_027943
1110038F14Rik	NM_054099
1110038F14Rik	NM_001347540
1110038F14Rik	XR_003951346
1110046J04Rik	NR_040707
1110058D11Rik	NR_130982
1110059E24Rik	NM_025423
1110059G10Rik	NM_025419
1110065P20Rik	NM_001142727
1110065P20Rik	NM_001404054
1110065P20Rik	NM_001404057
1110065P20Rik	NM_001404055
1110065P20Rik	NM_001347196
1110065P20Rik	NM_001404056
1190005I06Rik	NM_197988
1190028D05Rik	NR_151738
1300002E11Rik	NR_037958
1300002E11Rik	NR_037957
1500002C15Rik	NR_190173
1500002F19Rik	XR_003946681
1500002F19Rik	XR_003946679
1500002F19Rik	XR_003946680
1500002F19Rik	XR_870008
1500002F19Rik	XR_003946678
1500004A13Rik	NR_160679
1500004A13Rik	NR_015498
1500004A13Rik	NR_160680
1500004A13Rik	NR_160678
1500009L16Rik	NM_001145198
1500009L16Rik	XM_006514060
1500009L16Rik	XM_011243557
1500009L16Rik	XM_011243558
1500011B03Rik	NR_027817
1500011B03Rik	NR_027818
1500012K07Rik	NR_045812
1500012K07Rik	NR_045814
1500015A07Rik	NR_029432
1500015L24Rik	NR_045817
1500026H17Rik	NR_130956
1500032F14Rik	XR_003952884
