from	to
1-8D	NM_006435
1-8U	NM_021034
1-Cys	NM_004905
1/2-SBSRNA4	NR_039978
10-fTHF	NM_012190
101F10.1	NM_001012991
101F6	NM_007022
103AS	NM_002255
10C	NM_032496
11B6	NM_014599
12-HETER	NM_005299
12CC4	NM_032682
133K02	NM_018691
13CDNA73	NM_023037
14-3-3	NM_006826
14-3-3-zeta	NM_145690
14-3-3GAMMA	NM_012479
14-3-3γ	NM_012479
14.1	NM_020070
14q(0)	NR_003080
14q(I-1)	NR_003229.1
14q(I-2)	NR_003230.1
14q(I-3)	NR_003231.1
14q(I-4)	NR_003232.1
14q(I-5)	NR_003233.1
14q(I-6)	NR_003234.1
14q(I-7)	NR_003235.1
14q(I-8)	NR_003236.1
14q(I-9)	NR_003237.1
14q(II-1)	NR_003193.1
14q(II-10)	NR_003203.1
14q(II-11)	NR_003204.1
14q(II-12)	NR_003205.1
14q(II-13)	NR_003206.1
14q(II-14)	NR_003207.1
14q(II-15)	NR_003208.1
14q(II-16)	NR_003209.1
14q(II-17)	NR_003210.1
14q(II-18)	NR_003211.1
14q(II-19)	NR_003212.1
14q(II-2)	NR_003194.1
14q(II-20)	NR_003213.1
14q(II-21)	NR_003214.1
14q(II-22)	NR_003215.1
14q(II-23)	NR_003216.1
14q(II-24)	NR_003217.1
14q(II-25)	NR_003218.1
14q(II-26)	NR_003219.1
14q(II-27)	NR_003220.1
14q(II-28)	NR_003221.1
14q(II-29)	NR_003222.1
14q(II-3)	NR_003195.1
14q(II-30)	NR_003223.1
14q(II-31)	NR_003224.1
14q(II-4)	NR_003196.1
14q(II-5)	NR_003197.1
14q(II-6)	NR_003198.1
14q(II-7)	NR_003199.1
14q(II-8)	NR_003200.1
14q(II-9)	NR_003201.1
15.212	NM_002255
15.5K	NM_001003796
15E1.2	NM_176818
16.1	NR_029395
16.3A5	NM_203329
16A	NM_001183
16E1BP	NM_004237
16S	NC_012920
17-BETA-HSD11	NM_016245
17-BETA-HSDXI	NM_016245
1700010H15RiK	NM_031427
1700024P04Rik	NG_066041
170A	NM_006929
17b-HSD10	NM_004493
182-FIP	NM_020772
183ActI	NM_012312
18A2	NM_002961
19A	NM_021181
1A1-3B	NM_005899
1A6/DRIM	NM_014503
1R20	NM_002922
2'-PDE	NM_177966
2-21	NM_058186
2-COP	NM_012133
2-HPCL	NM_012260
209L8	NM_006844
20D7-FC4	NM_001329632
21-GARP	NM_007341
225	NM_001964
2310005P21Rik	NM_030945
2310047H23Rik	NM_024715
239AB	NM_001044370
239FB	NM_001584
24b2	NM_198993
24p3	NM_005564
2610509L04Rik	NM_019843
26RFa	NM_198180
2700066J21Rik	NM_021645
28H	NG_001141
2A9	NM_014624
2B28	NM_015853
2B4	NM_016382
2C18	NM_018569
2C4D	NM_015387
2F1	NM_001152
2F1	NM_005810
2HOR0202	NM_005870
2OST	NM_005715
2P1	NM_199069
2PP2A	NM_001122821
3'HEXO	NM_153332
3'OY11.1	NM_080740
3'aHIF-1A	NR_045406
3-10C	NM_000584
3-OST-5	NM_153612
3-PAP	NM_001040446
3-alpha-HSD	NM_001818
30ST3A1	NM_006042
30ST3B1	NM_006041
354J5	NG_009460
3635	NM_177966
37LRP	NM_002295
384D8-2	NM_152299
39K2	NM_001164380
3G2	NM_005777
3H11Ag	NM_025114
3M3	NM_032040
3OST1	NM_005114
3OST2	NM_006043
3OST3A1	NM_006042
3OST3B1	NM_006041
3OST4	NM_006040
3PAP	NM_001040446
3PK	NM_004635
3alpha-HSD	NM_005771
3pK	NM_004635
4-1BB-L	NM_003811
4-1BBL	NM_003811
4-HPPD	NM_002150
4-HPPD-L	NM_032756
4.1B	NM_012307
4.1N	NM_012156
4.1R	NM_203342
42A	NM_002961
42C	NM_002966
47.11	NM_014218
4832404P21Rik	NM_001242487
4833431A01Rik	NM_018105
4930513O09RIK	NM_203303
4933409D10Rik	NM_207317
4E-BP1	NM_004095
4E-BP3	NM_003732
4E-T	NM_019843
4EHP	NM_004846
4F-se9[6:7:8]	NR_023391
4F2	NM_001012661
4F2HC	NM_001012661
4F5	NM_021967
4F5REL	NM_005770
4HPPD	NM_002150
4P11	NM_145858
4T2HC	NM_001012661
5'OY11.1	NM_080764
5'aHIF-1A	NR_047116
5-HT(2B)	NM_000867
5-HT1A	NM_000524
5-HT1B	NM_000863
5-HT1D	NM_000864
5-HT1DB	NM_000863
5-HT1E	NM_000865
5-HT1F	NM_000866
5-HT2A	NM_000621
5-HT2B	NM_000867
5-HT2C	NM_000868
5-HT3A	NM_000869
5-HT3B	NM_006028
5-HT3C2	NG_005672
5-HT3R	NM_000869
5-HT4	NM_000870
5-HT5A	NM_024012
5-HT5B	NG_008325
5-HT6	NM_000871
5-HT6R	NM_000871
5-HT7	NM_000872
5-HTT	NM_001045
5-Opase	NM_017570
52	NR_004387
53BP2	NM_005426
53BP2	NM_001031685
54TM	NM_020470
59-DAP	NM_021021
59K	NM_005707
5HTR2C	NM_000868
5MP1	NM_014038
5MP2	NM_014670
5PTASE	NM_005539
6-16	NM_022873
6.3	NM_017514
6.8PL	NM_001127393
60B8AG	NM_002964
60B8AG	NM_002965
60H	NG_001142
6530404F10Rik	NM_152387
6530406P05Rik	NG_005303
6A3-5	NM_020732
6C6-Ag	NM_005745
6Ckine	NM_002989
71-7A	NM_003611
71-7A2	NG_009011
721P	NM_005088
753P9	NM_018990
76P	NM_014444
7A5	NM_182762
7B2	NM_003020
7B4	NM_001795
7L1a	NR_002715
7L23	NG_002428
7L28	NG_002425
7L30.1	NR_027260
7L30.2	NG_011406
7L63	NG_002429
7L7	NG_002427
7LEM1	NG_002426
7SK	NR_001445
7SL	NR_002715
7SL1c	NR_027260
7h3	NM_033025
80K-L	NM_002356
