from	to
ENSMUSG00000000001	NM_010306
ENSMUSG00000000003	NM_017471
ENSMUSG00000000028	NM_001416660
ENSMUSG00000000037	NM_001290651
ENSMUSG00000000049	NM_013475
ENSMUSG00000000056	NM_026272
ENSMUSG00000000058	NM_001277756
ENSMUSG00000000078	NM_011803
ENSMUSG00000000085	NM_001404090
ENSMUSG00000000088	NM_007747
ENSMUSG00000000093	NM_009324
ENSMUSG00000000094	NM_172798
ENSMUSG00000000103	NM_009571
ENSMUSG00000000120	NM_033217
ENSMUSG00000000125	NM_009521
ENSMUSG00000000126	XM_036156546
ENSMUSG00000000127	XM_006523645
ENSMUSG00000000131	NM_001311143
ENSMUSG00000000134	NM_172472
ENSMUSG00000000142	NM_001417413
ENSMUSG00000000148	XM_011240975
ENSMUSG00000000149	NM_010302
ENSMUSG00000000154	XM_006508513
ENSMUSG00000000157	XM_006522928
ENSMUSG00000000159	NM_001177886
ENSMUSG00000000167	NM_028300
ENSMUSG00000000168	NM_145614
ENSMUSG00000000171	NM_025848
ENSMUSG00000000182	NM_022657
ENSMUSG00000000183	NM_010204
ENSMUSG00000000184	NM_009829
ENSMUSG00000000194	NM_178760
ENSMUSG00000000197	NM_177393
ENSMUSG00000000202	XM_017314778
ENSMUSG00000000204	NM_011410
ENSMUSG00000000214	NM_009377
ENSMUSG00000000215	NM_008387
ENSMUSG00000000216	XM_006507477
ENSMUSG00000000223	NM_001411867
ENSMUSG00000000244	XM_006508623
ENSMUSG00000000247	NM_001290646
ENSMUSG00000000248	NM_001168224
ENSMUSG00000000253	NM_025508
ENSMUSG00000000263	NM_020492
ENSMUSG00000000266	NM_011845
ENSMUSG00000000275	XM_017314476
ENSMUSG00000000276	XM_011249151
ENSMUSG00000000278	NM_029023
ENSMUSG00000000282	XM_006532402
ENSMUSG00000000290	XM_017313814
ENSMUSG00000000295	XM_030245252
ENSMUSG00000000296	NM_001359364
ENSMUSG00000000301	NM_001290013
ENSMUSG00000000303	NM_009864
ENSMUSG00000000305	XM_036157902
ENSMUSG00000000308	NM_001416953
ENSMUSG00000000317	XM_030245494
ENSMUSG00000000318	NM_001204252
ENSMUSG00000000320	NM_007440
ENSMUSG00000000326	NM_007744
ENSMUSG00000000339	XM_006501884
ENSMUSG00000000340	NM_001409892
ENSMUSG00000000346	NM_011873
ENSMUSG00000000355	NM_001356359
ENSMUSG00000000359	NM_009047
ENSMUSG00000000365	XM_006519112
ENSMUSG00000000374	XM_030245014
ENSMUSG00000000378	NM_001190344
ENSMUSG00000000381	XM_017314502
ENSMUSG00000000385	NM_015775
ENSMUSG00000000386	NM_010846
ENSMUSG00000000392	NM_007986
ENSMUSG00000000394	NM_008100
ENSMUSG00000000399	NM_025358
ENSMUSG00000000402	NM_019397
ENSMUSG00000000409	NM_010693
ENSMUSG00000000411	XM_006503254
ENSMUSG00000000416	XM_011241065
ENSMUSG00000000420	NM_013814
ENSMUSG00000000435	NM_008656
ENSMUSG00000000439	NM_023290
ENSMUSG00000000440	XM_011241252
ENSMUSG00000000441	XM_006505364
ENSMUSG00000000486	XM_036153250
ENSMUSG00000000489	XM_006520592
ENSMUSG00000000530	NM_009612
ENSMUSG00000000531	XM_006521196
ENSMUSG00000000532	NM_007395
ENSMUSG00000000538	NM_001403896
ENSMUSG00000000544	NM_001360926
ENSMUSG00000000552	NM_001356627
ENSMUSG00000000555	NM_010577
ENSMUSG00000000560	NM_001428488
ENSMUSG00000000561	NM_027432
ENSMUSG00000000562	XM_355417
ENSMUSG00000000563	NM_009725
ENSMUSG00000000567	NM_011448
ENSMUSG00000000568	XM_036164753
ENSMUSG00000000581	NM_001330649
ENSMUSG00000000594	NM_010299
ENSMUSG00000000600	NM_001170552
ENSMUSG00000000605	XM_036152617
ENSMUSG00000000606	XM_036158822
ENSMUSG00000000617	NM_173372
ENSMUSG00000000627	NM_001410310
ENSMUSG00000000628	NM_013820
ENSMUSG00000000631	XM_017314624
ENSMUSG00000000632	NM_001291225
ENSMUSG00000000673	XM_030249441
ENSMUSG00000000682	NM_013706
ENSMUSG00000000686	NM_026185
ENSMUSG00000000690	NM_008269
ENSMUSG00000000693	NM_013586
ENSMUSG00000000701	NM_013776
ENSMUSG00000000706	NM_013483
ENSMUSG00000000708	XM_036160396
ENSMUSG00000000711	NM_001428778
ENSMUSG00000000724	NM_009965
ENSMUSG00000000730	NM_001284199
ENSMUSG00000000731	NM_001271555
ENSMUSG00000000732	NM_015790
ENSMUSG00000000738	NM_153176
ENSMUSG00000000739	XM_006531230
ENSMUSG00000000740	NM_016738
ENSMUSG00000000743	NM_145606
ENSMUSG00000000751	NM_001164223
ENSMUSG00000000753	NM_011340
ENSMUSG00000000766	XM_017313827
ENSMUSG00000000776	NM_001164082
ENSMUSG00000000782	NM_001427422
ENSMUSG00000000787	NM_010028
ENSMUSG00000000791	XM_006509558
ENSMUSG00000000792	XM_006509537
ENSMUSG00000000794	NM_080466
ENSMUSG00000000804	XM_011248990
ENSMUSG00000000805	NM_001430872
ENSMUSG00000000811	NM_001178060
ENSMUSG00000000817	NM_001205243
ENSMUSG00000000823	NM_001409733
ENSMUSG00000000826	NM_001271584
ENSMUSG00000000827	NM_001291204
ENSMUSG00000000838	NM_001412091
ENSMUSG00000000861	XM_036156319
ENSMUSG00000000869	NM_021283
ENSMUSG00000000876	NM_001418221
ENSMUSG00000000881	XM_006528123
ENSMUSG00000000884	XM_017316874
ENSMUSG00000000889	NM_138942
ENSMUSG00000000901	NM_008606
ENSMUSG00000000902	NM_011418
ENSMUSG00000000903	XM_030245072
ENSMUSG00000000915	NM_145070
ENSMUSG00000000916	NM_001359617
ENSMUSG00000000934	NM_001355589
ENSMUSG00000000938	NM_001419405
ENSMUSG00000000942	NM_008265
ENSMUSG00000000957	NM_008608
ENSMUSG00000000958	NM_001379499
ENSMUSG00000000959	XM_127742
ENSMUSG00000000976	XM_030245843
ENSMUSG00000000982	NM_011337
ENSMUSG00000000983	NM_007969
ENSMUSG00000001014	NM_023892
ENSMUSG00000001016	NM_026374
ENSMUSG00000001017	NM_001293777
ENSMUSG00000001018	NM_133854
ENSMUSG00000001020	NM_001410572
ENSMUSG00000001021	XM_036162967
ENSMUSG00000001023	NM_001410573
ENSMUSG00000001025	NM_001417976
ENSMUSG00000001027	NM_001403641
ENSMUSG00000001029	XM_030245595
ENSMUSG00000001034	XM_030245987
ENSMUSG00000001036	XM_006532167
ENSMUSG00000001039	NM_013717
ENSMUSG00000001052	NM_001411432
ENSMUSG00000001053	XM_030245757
ENSMUSG00000001054	NM_025346
ENSMUSG00000001056	NM_001364736
ENSMUSG00000001062	NM_001310661
ENSMUSG00000001065	XM_017312923
ENSMUSG00000001076	NM_001024702
ENSMUSG00000001082	NM_001412509
ENSMUSG00000001089	XM_030253588
ENSMUSG00000001095	NM_022411
ENSMUSG00000001098	NM_026145
ENSMUSG00000001100	NM_026389
ENSMUSG00000001103	NM_008759
ENSMUSG00000001105	NM_018854
ENSMUSG00000001119	NM_009933
ENSMUSG00000001120	NM_001347216
ENSMUSG00000001123	NM_010708
ENSMUSG00000001127	XM_030251204
ENSMUSG00000001128	XM_135820
ENSMUSG00000001131	NM_001426020
ENSMUSG00000001134	NM_001418338
ENSMUSG00000001138	NM_001039551
ENSMUSG00000001143	XM_129848
ENSMUSG00000001150	NM_019434
ENSMUSG00000001151	XM_017313843
ENSMUSG00000001155	XM_006513215
ENSMUSG00000001156	NM_001410076
ENSMUSG00000001157	NM_011818
ENSMUSG00000001158	NM_025665
ENSMUSG00000001166	XM_006530120
ENSMUSG00000001168	NM_001159934
ENSMUSG00000001173	XM_036161984
ENSMUSG00000001175	NM_009790
ENSMUSG00000001211	NM_001404881
ENSMUSG00000001225	XM_011243812
ENSMUSG00000001227	NM_001130456
ENSMUSG00000001228	NM_001413357
ENSMUSG00000001229	NM_172624
ENSMUSG00000001240	NM_019444
ENSMUSG00000001247	NM_017405
ENSMUSG00000001248	XM_006540186
ENSMUSG00000001249	NM_001110252
ENSMUSG00000001260	NM_001417488
ENSMUSG00000001270	NM_021273
ENSMUSG00000001280	NM_013672
ENSMUSG00000001281	XM_006520482
ENSMUSG00000001285	NM_021713
ENSMUSG00000001288	NM_001411714
ENSMUSG00000001289	NM_027044
ENSMUSG00000001300	NM_001368299
ENSMUSG00000001305	NM_026041
ENSMUSG00000001313	NM_009708
ENSMUSG00000001323	XM_011249057
ENSMUSG00000001333	NM_023485
ENSMUSG00000001334	XM_006503212
ENSMUSG00000001348	XM_006509945
ENSMUSG00000001349	XM_011242388
ENSMUSG00000001366	NM_023605
ENSMUSG00000001376	NM_001167750
ENSMUSG00000001380	NM_008214
ENSMUSG00000001403	NM_026785
ENSMUSG00000001415	XM_006501343
ENSMUSG00000001416	NM_009836
ENSMUSG00000001418	NM_020003
ENSMUSG00000001419	NM_001410091
ENSMUSG00000001420	XM_006502125
ENSMUSG00000001424	XM_006505142
ENSMUSG00000001435	XM_006513174
ENSMUSG00000001436	XM_006513414
ENSMUSG00000001440	NM_008379
ENSMUSG00000001441	NM_008942
ENSMUSG00000001444	NM_019507
ENSMUSG00000001445	NM_001357808
ENSMUSG00000001467	NM_020010
ENSMUSG00000001472	NM_025804
ENSMUSG00000001473	NM_026473
ENSMUSG00000001482	NM_001414289
ENSMUSG00000001493	NM_010791
ENSMUSG00000001494	XM_006534376
ENSMUSG00000001496	XM_006515791
ENSMUSG00000001497	NM_011041
ENSMUSG00000001504	XM_127412
ENSMUSG00000001506	NM_007742
ENSMUSG00000001507	NM_013565
ENSMUSG00000001508	NM_009161
ENSMUSG00000001510	NM_010055
ENSMUSG00000001517	NM_008021
ENSMUSG00000001518	NM_133927
ENSMUSG00000001520	XM_006506451
ENSMUSG00000001521	NM_011657
ENSMUSG00000001524	NM_001413326
ENSMUSG00000001525	NM_011655
ENSMUSG00000001542	NM_138953
