from	to
0610010K14Rik	NM_001177607
0610040J01Rik	NM_001417898
1110059E24Rik	NM_025423
1110059G10Rik	NM_025419
1500009L16Rik	XM_011243557
1600012H06Rik	NM_026451
1600014C10Rik	NM_028166
1600029I14Rik	XM_135038
1700001O22Rik	XM_030252119
1700003E16Rik	NM_027948
1700003F12Rik	XM_017319305
1700006A11Rik	XM_131185
1700008O03Rik	XM_006541171
1700008P02Rik	XM_130785
1700010B08Rik	XM_130726
1700010I14Rik	NM_001347544
1700012A03Rik	NM_029587
1700012B09Rik	NM_029306
1700013H16Rik	XM_135430
1700016H13Rik	XM_006535260
1700017B05Rik	XM_134943
1700017N19Rik	XM_030245218
1700018B08Rik	NM_001382232
1700019D03Rik	NM_001368280
1700020A23Rik	NM_001163483
1700025G04Rik	NM_197990
1700026J12Rik	XM_148382
1700028K03Rik	NM_182745
1700029F12Rik	XM_011244689
1700029H14Rik	NM_001080781
1700030J22Rik	NM_001357254
1700030K09Rik	XM_006509750
1700034E13Rik	XM_128871
1700034J05Rik	NM_028509
1700037C18Rik	NM_028484
1700067K01Rik	NM_183097
1700088E04Rik	NM_001310581
1700093K21Rik	NM_001110133
1700102P08Rik	XM_006511628
1700123O20Rik	XM_036158774
1810009J06Rik	NM_023707
1810010H24Rik	NM_001163473
1810037I17Rik	NM_024461
1810055G02Rik	NM_001358257
2010003K11Rik	XM_129092
2010109A12Rik	XM_132136
2210016L21Rik	NM_028211
2210408I21Rik	XM_006517397
2300002M23Rik	NM_175148
2300009A05Rik	XM_204313
2310009B15Rik	NM_001081226
2310011J03Rik	NM_025521
2310022A10Rik	XM_017312231
2310022B05Rik	NM_175149
2310039H08Rik	NM_025966
2310057J18Rik	NM_026336
2310057M21Rik	XM_030242951
2310061I04Rik	XM_128627
2410004P03Rik	XM_006515231
2510002D24Rik	XM_036160137
2510009E07Rik	NM_001001881
2610008E11Rik	NM_001004362
2610028H24Rik	XM_006514295
2610318N02Rik	XM_006522537
