from	to
NM_001001130	Zfp85
NM_001001176	Taf9b
NM_001001179	A2ml1
NM_001001183	Tmem204
NM_001001184	Primpol
NM_001001295	Dis3l
NM_001001320	Tbx10
NM_001001332	Cstdc6
NM_001001335	Plekha8
NM_001001445	Trpv1
NM_001001451	Tas2r138
NM_001001491	Tpm4
NM_001001493	Wdr83os
NM_001001495	Tnip3
NM_001001735	Nsd3
NM_001001792	Zfp239
NM_001001805	Or51a7
NM_001001806	Zfp36l2
NM_001001809	Or10j3
NM_001001881	2510009E07Rik
NM_001002004	Bltp2
NM_001002012	Hspa2
NM_001002240	Tdrd1
NM_001002267	Tmem158
NM_001002272	Tro
NM_001002787	Ccin
NM_001002791	Defb22
NM_001002894	Nlrp14
NM_001002898	Sirpb1a
NM_001002900	Higd1c
NM_001003666	Zfp457
NM_001003667	Krt77
NM_001003668	Krt87
NM_001003671	Pcdhac1
NM_001003672	Pcdhac2
NM_001003917	Atg9a
NM_001003933	Rtn3
NM_001003947	Cyp4x1
NM_001003952	Sval3
NM_001004025	Ppp3r2
NM_001004139	Zfp619
NM_001004143	Usp22
NM_001004149	Zfp366
NM_001004157	Scarf1
NM_001004159	Clec4b2
NM_001004174	AA467197
NM_001004176	Maml3
NM_001004178	Frg2f1
NM_001004185	Whamm
NM_001004191	Gm5617
NM_001004192	BC048562
NM_001004194	Nlrp4e
NM_001004362	2610008E11Rik
NM_001004436	Wapl
NM_001005225	Or4a27
NM_001005510	Syne2
NM_001005511	Lmtk3
NM_001005520	Or6k6
NM_001005568	Or4k37
NM_001005860	Clec4a4
NM_001005916	Zbtb9
NM_001007461	Gsdma3
NM_001007472	Noto
NM_001007567	Slc7a6os
NM_001007568	Zfp251
NM_001007570	Slc25a42
NM_001007575	Zfp58
NM_001007589	Akirin2
NM_001008233	Plekhn1
NM_001008238	Bnip2
NM_001008424	Cdsn
NM_001008425	Thoc6
NM_001008428	Fbxw20
NM_001008429	Taar3
NM_001008498	Dync2i2
NM_001008546	Tardbp
NM_001008550	Zfyve26
NM_001008700	Il4ra
NM_001008705	Bud31
NM_001008785	Kbtbd8
NM_001008793	Whrn
NM_001009549	Zfp36l3
NM_001010838	Taar7d
NM_001010839	Taar7f
NM_001010840	Taar8c
NM_001010973	Hrh2
NM_001011520	Or14c46
NM_001011524	Or10v9
NM_001011527	Or52n4b
NM_001011531	Or2t29
NM_001011534	Or5ak20
NM_001011535	Or4p21
NM_001011662	Or5k16
NM_001011687	Rnase13
NM_001011736	Or5ac23
NM_001011737	Or1i2
NM_001011740	Or2w25
NM_001011748	Or7d11
NM_001011749	Or2ag20
NM_001011756	Or8g30
NM_001011757	Or56b2j
NM_001011769	Or2w3b
NM_001011776	Or12j2
NM_001011785	Or5ak4
NM_001011789	Or2b11
NM_001011791	Or5h25
NM_001011793	Or52ab7
NM_001011794	Or11n2
NM_001011800	Or6d12
NM_001011808	Or5ac16
NM_001011815	Or12j4
NM_001011819	Or5af1
NM_001011820	Or2b2
