from	to
NC_012920	MT-RNR2
NG_000002	IGLV9-49
NG_000002	IGLV2-11
NG_000002	IGLV3-22
NG_000002	IGLVI-68
NG_000002	IGLVIV-64
NG_000002	IGLV5-48
NG_000002	IGLV3-29
NG_000002	IGLC4
NG_000002	IGLV2-5
NG_000002	IGLV1-36
NG_000002	IGLV3-30
NG_000002	IGLJ7
NG_000002	IGLVI-20
NG_000002	IGLJ3
NG_000002	IGLV7-46
NG_000002	IGLV1-40
NG_000002	IGLV1-41
NG_000002	IGLV4-60
NG_000002	IGLC5
NG_000002	IGLV3-6
NG_000002	IGLC7
NG_000002	IGLV1-62
NG_000002	IGLV3-12
NG_000002	IGLV3-9
NG_000002	IGLVV-58
NG_000002	IGLV5-37
NG_000002	IGLJ2
NG_000002	IGLV3-16
NG_000002	IGLV1-51
NG_000002	IGLJ5
NG_000002	IGLV3-2
NG_000002	IGLV8-61
NG_000002	IGLVI-42
NG_000002	IGLVI-63
NG_000002	IGLVIV-66-1
NG_000002	IGLV1-44
NG_000002	IGLV3-21
NG_000002	TOP3BP1
NG_000002	IGLVVI-22-1
NG_000002	IGLV2-8
NG_000002	IGLV10-54
NG_000002	IGLVI-56
NG_000002	IGLV3-4
NG_000002	IGLV2-23
NG_000002	IGLV4-69
NG_000002	IGLVI-38
NG_000002	IGLVIV-65
NG_000002	IGLJ1
NG_000002	IGLV1-47
NG_000002	IGLVVI-25-1
NG_000002	IGLV6-57
NG_000002	IGLVIV-59
NG_000002	IGLC3
NG_000002	IGLV2-28
NG_000002	BCRP4
NG_000002	IGLV2-33
NG_000002	IGLV3-10
NG_000002	IGLV4-3
NG_000002	IGLV3-26
NG_000002	IGLV10-67
NG_000002	IGLV3-17
NG_000002	IGLV3-1
NG_000002	IGLV1-50
NG_000002	IGLV3-15
NG_000002	IGLV7-35
NG_000002	IGLV3-31
NG_000002	IGLV3-19
NG_000002	IGLJ4
NG_000002	ASH2LP4
NG_000002	IGLV5-45
NG_000002	IGLVV-66
NG_000002	IGLJ6
NG_000002	IGLV2-18
NG_000002	IGLV11-55
NG_000002	IGLV3-13
NG_000002	IGLV2-34
NG_000002	IGLV3-24
NG_000002	IGLV3-7
NG_000002	IGLV5-52
NG_000002	IGLC6
NG_000002	IGLVI-70
NG_000002	IGLV7-43
NG_000002	IGLVIV-53
NG_000002	IGLC1
NG_000002	IGLV3-25
NG_000002	IGLC2
NG_000002	IGL
NG_000002	IGLVVII-41-1
NG_000002	IGLV3-32
NG_000002	IGLV2-14
NG_000002	IGLV3-27
NG_000008	RPL36P16
NG_000018	KRT41P
NG_000833	IGKV6D-21
NG_000833	IGKV1D-27
NG_000833	IGKV2D-18
NG_000833	IGKV1D-32
NG_000833	IGKV2D-26
NG_000833	IGK
NG_000833	IGKV2D-23
NG_000833	IGKV1D-12
NG_000833	IGKV2D-30
NG_000833	IGKV3D-31
NG_000833	IGKV2D-38
NG_000833	IGKV2D-24
NG_000833	IGKV1D-13
NG_000833	IGKV1D-33
NG_000833	IGKV3D-15
NG_000833	IGKV3D-25
NG_000833	IGKV1D-42
NG_000833	IGKV1D-43
NG_000833	IGKV1D-39
NG_000833	IGKV2D-29
NG_000833	IGKV6D-41
NG_000833	IGKV1D-35
NG_000833	IGKV2D-36
NG_000833	IGKV1D-17
NG_000833	IGKV3D-7
NG_000833	IGKV2D-28
NG_000833	IGKV2D-40
NG_000833	IGKV1D-8
NG_000833	IGKV3D-34
NG_000833	IGKV2D-19
NG_000833	IGKV2D-10
NG_000833	IGKV1D-22
NG_000833	IGKV2D-14
NG_000833	IGKV3D-20
NG_000833	IGKV1D-37
NG_000833	IGKV1D-16
NG_000833	IGKV3D-11
NG_000834	IGKV6-21
NG_000834	IGKV2-23
NG_000834	IGKV2-29
NG_000834	IGKV2-30
NG_000834	IGKV2-18
NG_000834	IGKV1-39
NG_000834	IGKV1-35
NG_000834	IGKV2-40
NG_000834	IGKJ3
NG_000834	IGKV1-22
NG_000834	IGKV2-14
NG_000834	IGKV3-11
NG_000834	IGKV2-4
NG_000834	IGKV3-34
NG_000834	IGKV1-32
NG_000834	IGKV2-10
NG_000834	IGKV4-1
NG_000834	IGKV1-6
NG_000834	IGKV1-37
NG_000834	IGKV1-33
NG_000834	IGKV3-20
NG_000834	IGKJ4
NG_000834	IGKV1-16
NG_000834	IGKJ2
NG_000834	IGKV2-38
NG_000834	IGKC
NG_000834	IGKV2-36
NG_000834	IGKJ5
NG_000834	IGKV2-28
NG_000834	IGKV3-25
NG_000834	IGKJ1
NG_000834	IGKV1-12
NG_000834	IGKV1-17
NG_000834	IGKV1-27
NG_000834	IGKV1-9
NG_000834	IGKV1-13
NG_000834	IGKV3-31
NG_000834	IGKV5-2
NG_000834	IGKV2-24
NG_000834	IGKV7-3
NG_000834	IGKV1-5
NG_000834	IGKV3-15
NG_000834	IGKV2-26
NG_000834	IGKV3-7
NG_000834	IGKV2-19
NG_000834	IGKV1-8
NG_000837	RPL21P81
NG_000839	CSTP2
NG_000840	ACTBP8
NG_000842	ACTG1P3
NG_000843	ADORA2BP1
NG_000845	ASS1P2
NG_000846	ASS1P4
NG_000847	ASS1P5
NG_000848	ASS1P6
NG_000849	ATP1B3P1
NG_000850	BAK1P1
NG_000858	DHFRP1
NG_000862	GNAQP1
NG_000863	HADHAP1
NG_000866	RBMS1P1
NG_000867	RDXP2
NG_000869	RPL32P1
NG_000870	RRM2P3
NG_000871	RRM2P4
NG_000872	TRU-TCA2-1
NG_000874	HNRNPDP1
NG_000876	H2AC10P
NG_000877	RPL3P1
NG_000878	RPL23AP3
NG_000880	ARSLP1
NG_000881.2	ARSDP1
NG_000882	VDAC1P5
NG_000883	HMGB1P3
NG_000884	SNAI1P1
NG_000885	NPM1P14
NG_000889	RPL41P3
NG_000890	RPL41P2
NG_000891	RPL41P1
NG_000892	HMGN2P10
NG_000893	RPS24P1
NG_000894	RPL34P2
NG_000895	RPL34P1
NG_000896	RPS5P1
NG_000897	HMGB1P5
NG_000899	VDAC2P1
NG_000902	SRSF9P1
NG_000903	RPS5P3
NG_000904	RPS3AP1
NG_000906	RPS20P1
NG_000908	RPL31P1
NG_000909	RPL23P2
NG_000910	RPL23AP4
NG_000911	RPL10P1
NG_000912	RIMKLBP1
NG_000916	PCBP2P1
NG_000917	MYL6P1
NG_000919	IMMTP1
NG_000921	HMGN1P2
NG_000922	H2AZP1
NG_000924.4	EIF4A1P1
NG_000926	EEF1A1P1
NG_000927	CYP4F29P
NG_000930	FBXW11P1
NG_000933	ERP29P1
NG_000936	PKP2P1
NG_000938	KRT90P
NG_000940	KRT89P
NG_000941	KRTAP3-4P
NG_000942	KRTAP9-11P
NG_000943	KRT88P
NG_000944	KRT87P
NG_000945	RPL12P12
NG_000946	RPS2P7
NG_000948	NT5C3AP1
NG_000949	PLEKHA3P1
NG_000950.3	RPS4XP2
NG_000951	RPS15AP1
NG_000952	RPS10P5
NG_000953	RPS23P1
NG_000954	NDUFB3P1
NG_000958	NDUFB3P5
NG_000960	RPS27AP1
NG_000962	RPL12P4
NG_000963	RPL38P1
NG_000964	RPL12P11
NG_000966	RPL13P2
NG_000969.3	RPL7AP12
NG_000970	RPS18P1
NG_000971	RPL23AP6
NG_000972	RPS11P1
NG_000974	RPL7AP13
NG_000975	RPL15P1
NG_000977	MRPS11P1
NG_000978	RPL12P3
NG_000979	HMGB3P2
NG_000982	RPL37P1
NG_000983	RPL36P1
NG_000985	RPS27AP3
NG_000986	RPL21P2
NG_000987	RPL35AP
NG_000988	RPL37AP1
NG_000989	RPL31P3
NG_000990	RPL39P
NG_000991	RPL17P1
NG_000992	RPL5P2
NG_000993	RPL36P4
NG_000994	RPL36P2
NG_000995	RPS27AP2
NG_000996	RPL31P2
NG_000998	RPS2P1
NG_000999	RPL7AP14
NG_001000	RSL24D1P6
NG_001001	RPS10P2
NG_001002	RPL19P1
NG_001003	RPL24P2
NG_001004	RPS3P2
NG_001008	PPIAP10
NG_001009	ESRRAP1
NG_001012	TAF9P3
NG_001017	SRSF10P2
NG_001019	IGHD7-27
NG_001019	IGHJ3
NG_001019	IGHV3-11
NG_001019	IGHV1-18
NG_001019	IGHV3-21
NG_001019	IGHV4-55
NG_001019	IGHGP
NG_001019	IGHVIII-16-1
NG_001019	GOLGA4P3
NG_001019	IGHVII-44-2
NG_001019	IGHVII-74-1
NG_001019	IGHVIII-5-2
NG_001019	IGHV3-57
NG_001019	IGHV3-50
NG_001019	IGHV1-3
NG_001019	IGHVII-26-2
NG_001019	IGHD4-11
NG_001019	IGHV3-62
NG_001019	IGHD3-16
NG_001019	IGHV2-10
NG_001019	IGHG3
NG_001019	IGHV1-69-2
NG_001019	IGHV1-68
NG_001019	IGHJ3P
NG_001019	IGHV2-5
NG_001019	IGHV2-70D
NG_001019	IGHV5-51
NG_001019	IGHVII-30-1
NG_001019	IGHVIII-26-1
NG_001019	IGHM
NG_001019	IGHD5-18
NG_001019	IGHV4-59
NG_001019	IGHVII-49-1
NG_001019	IGHJ2
NG_001019	IGHVIII-67-3
NG_001019	IGHD2-21
NG_001019	IGHV3-79
NG_001019	IGHV3-30
NG_001019	IGHD4-23
NG_001019	IGHV3-38
NG_001019	IGHV3-35
NG_001019	IGHVIII-76-1
NG_001019	IGHV3-23
