from	to
0808y08y	HGNC:49451
1-8D	HGNC:5413
1-8U	HGNC:5414
1-Cys	HGNC:16753
1/2-SBSRNA4	HGNC:44003
10-fTHF	HGNC:3978
101F10.1	HGNC:34404
101F6	HGNC:30253
103AS	HGNC:6332
10C	HGNC:14130
11B6	HGNC:16353
12-HETER	HGNC:4486
123F2	HGNC:9882
12CC4	HGNC:3823
12R-LOX	HGNC:430
12S	HGNC:7470
12S-LOX	HGNC:429
133K02	HGNC:1333
13CDNA73	HGNC:20367
14-3-3	HGNC:12854
14-3-3-zeta	HGNC:12855
14-3-3GAMMA	HGNC:12852
14-3-3γ	HGNC:12852
14.1	HGNC:5870
14q(0)	HGNC:32777
14q(I)	HGNC:32778
14q(I-1)	HGNC:32980
14q(I-2)	HGNC:32981
14q(I-3)	HGNC:32982
14q(I-4)	HGNC:32983
14q(I-5)	HGNC:32984
14q(I-6)	HGNC:32985
14q(I-7)	HGNC:32986
14q(I-8)	HGNC:32987
14q(I-9)	HGNC:32988
14q(II)	HGNC:32779
14q(II-1)	HGNC:32989
14q(II-10)	HGNC:32998
14q(II-11)	HGNC:32999
14q(II-12)	HGNC:33000
14q(II-13)	HGNC:33001
14q(II-14)	HGNC:33002
14q(II-15)	HGNC:33003
14q(II-16)	HGNC:33004
14q(II-17)	HGNC:33005
14q(II-18)	HGNC:33006
14q(II-19)	HGNC:33007
14q(II-2)	HGNC:32990
14q(II-20)	HGNC:33008
14q(II-21)	HGNC:33009
14q(II-22)	HGNC:33010
14q(II-23)	HGNC:33011
14q(II-24)	HGNC:33012
14q(II-25)	HGNC:33013
14q(II-26)	HGNC:33014
14q(II-27)	HGNC:33015
14q(II-28)	HGNC:33016
14q(II-29)	HGNC:33017
14q(II-3)	HGNC:32991
14q(II-30)	HGNC:33018
14q(II-31)	HGNC:33019
14q(II-4)	HGNC:32992
14q(II-5)	HGNC:32993
14q(II-6)	HGNC:32994
14q(II-7)	HGNC:32995
14q(II-8)	HGNC:32996
14q(II-9)	HGNC:32997
15-LOX-1	HGNC:433
15-LOX-2	HGNC:434
15.212	HGNC:6332
15.5K	HGNC:7819
156DAG	HGNC:2666
15E1.2	HGNC:25068
16.1	HGNC:5872
16.2	HGNC:5871
16.3A5	HGNC:1689
16A	HGNC:868
16E1BP	HGNC:12307
16S	HGNC:7471
17-1A	HGNC:11529
17-BETA-HSD11	HGNC:22960
17-BETA-HSDXI	HGNC:22960
1700010H15RiK	HGNC:23247
1700024P04Rik	HGNC:54442
170A	HGNC:10898
17b-HSD10	HGNC:4800
182-FIP	HGNC:17634
183ActI	HGNC:6334
18A2	HGNC:10494
19A	HGNC:21394
1A1-3B	HGNC:6746
1A6/DRIM	HGNC:17897
1C7	HGNC:19077
1D	HGNC:6647
1R20	HGNC:9991
2'-PDE	HGNC:25386
2-19	HGNC:13749
2-21	HGNC:1253
2-COP	HGNC:2237
2-HPCL	HGNC:17856
209L8	HGNC:6041
20D7-FC4	HGNC:25069
21-GARP	HGNC:10822
225	HGNC:3238
2310005P21Rik	HGNC:14326
2310047H23Rik	HGNC:20652
239AB	HGNC:1306
239FB	HGNC:1180
24b2	HGNC:23990
24p3	HGNC:6526
2610509L04Rik	HGNC:16687
26RFa	HGNC:29982
2700066J21Rik	HGNC:20321
277P12.9	HGNC:53954
28H	HGNC:4990
2A9	HGNC:10496
