from	to
ENSMUSP00000000001	Gnai3
ENSMUSP00000000003	Pbsn
ENSMUSP00000000010	Hoxb9
ENSMUSP00000000028	Cdc45
ENSMUSP00000000033	Igf2
ENSMUSP00000000049	Apoh
ENSMUSP00000000058	Cav2
ENSMUSP00000000080	Klf6
ENSMUSP00000000087	Scmh1
ENSMUSP00000000090	Cox5a
ENSMUSP00000000094	Dlgap4
ENSMUSP00000000095	Tbx2
ENSMUSP00000000096	Tbx4
ENSMUSP00000000109	Cntn1
ENSMUSP00000000122	Ngfr
ENSMUSP00000000127	Wnt3
ENSMUSP00000000128	Wnt9a
ENSMUSP00000000129	Fer
ENSMUSP00000000137	Actr2
ENSMUSP00000000145	Acsl6
ENSMUSP00000000153	Gna12
ENSMUSP00000000161	Itgb2l
ENSMUSP00000000163	Igsf5
ENSMUSP00000000171	Pih1d2
ENSMUSP00000000175	Sdhd
ENSMUSP00000000186	Fgf23
ENSMUSP00000000187	Fgf6
ENSMUSP00000000188	Ccnd2
ENSMUSP00000000193	Ccl2
ENSMUSP00000000194	Ccl12
ENSMUSP00000000199	Ncs1
ENSMUSP00000000201	Nalcn
ENSMUSP00000000206	Btbd17
ENSMUSP00000000208	Slfn4
ENSMUSP00000000219	Th
ENSMUSP00000000220	Ins2
ENSMUSP00000000221	Scnn1g
ENSMUSP00000000253	Lhx2
ENSMUSP00000000254	Clec2g
ENSMUSP00000000260	Gmpr
ENSMUSP00000000266	Ifi202b
ENSMUSP00000000275	Glra3
ENSMUSP00000000284	Trim25
ENSMUSP00000000285	Dgke
ENSMUSP00000000287	Scpep1
ENSMUSP00000000291	Mnt
ENSMUSP00000000299	Itgb2
ENSMUSP00000000304	Hddc2
ENSMUSP00000000305	Tpd52l1
ENSMUSP00000000310	Pemt
ENSMUSP00000000312	Cdh1
ENSMUSP00000000314	Cdh4
ENSMUSP00000000317	Ckmt1
ENSMUSP00000000326	Bcl6b
ENSMUSP00000000327	Clec10a
ENSMUSP00000000329	Alox12
ENSMUSP00000000335	Comt
ENSMUSP00000000342	Ccl11
ENSMUSP00000000348	Rtca
ENSMUSP00000000349	Dbt
ENSMUSP00000000356	Dazap2
ENSMUSP00000000365	Mcts1
ENSMUSP00000000369	Rem1
ENSMUSP00000000384	Trappc10
ENSMUSP00000000388	Ccm2
ENSMUSP00000000394	Tbrg4
ENSMUSP00000000395	Tmprss2
ENSMUSP00000000402	Fap
ENSMUSP00000000412	Egfl6
ENSMUSP00000000421	Tssk3
ENSMUSP00000000430	Galnt1
ENSMUSP00000000445	Myf5
ENSMUSP00000000449	Mkrn2
ENSMUSP00000000450	Pparg
ENSMUSP00000000451	Raf1
ENSMUSP00000000466	Plin2
ENSMUSP00000000476	Pdgfra
ENSMUSP00000000500	Pdgfb
ENSMUSP00000000505	Mcm7
ENSMUSP00000000514	Serpinb8
ENSMUSP00000000542	Acvrl1
ENSMUSP00000000543	Tamalin
ENSMUSP00000000544	Acvr1b
ENSMUSP00000000572	Gabra2
ENSMUSP00000000573	Ovgp1
ENSMUSP00000000574	Adora3
ENSMUSP00000000579	Sox9
ENSMUSP00000000590	Rdx
ENSMUSP00000000594	C1d
ENSMUSP00000000608	Gm2a
ENSMUSP00000000619	Clcn4
ENSMUSP00000000631	Grm6
ENSMUSP00000000632	Zfp354c
ENSMUSP00000000641	Sema4f
ENSMUSP00000000642	Hk2
ENSMUSP00000000645	Myo18a
ENSMUSP00000000646	Sez6
ENSMUSP00000000674	St7
ENSMUSP00000000687	Haao
ENSMUSP00000000696	Cd52
ENSMUSP00000000704	Hoxb6
ENSMUSP00000000707	Loxl3
ENSMUSP00000000717	Tcl1b5
ENSMUSP00000000718	Tcl1b4
ENSMUSP00000000724	Kat2b
ENSMUSP00000000727	Rab5b
ENSMUSP00000000746	Dnmt3l
ENSMUSP00000000755	Sult5a1
ENSMUSP00000000756	Rpl13
ENSMUSP00000000759	Chmp1a
ENSMUSP00000000767	Rpa1
ENSMUSP00000000769	Serpinf1
ENSMUSP00000000776	Tubgcp3
ENSMUSP00000000783	Oprm1
ENSMUSP00000000793	Polr3d
ENSMUSP00000000804	Ddx3x
ENSMUSP00000000808	Il12rb1
ENSMUSP00000000809	Slc5a5
ENSMUSP00000000811	Kcnn3
ENSMUSP00000000821	Usp32
ENSMUSP00000000828	Txnrd3
ENSMUSP00000000834	Fasl
ENSMUSP00000000844	Tpd52l2
ENSMUSP00000000881	Bcl11a
ENSMUSP00000000889	Il4
ENSMUSP00000000894	E2f1
ENSMUSP00000000895	Necab3
ENSMUSP00000000896	Pxmp4
ENSMUSP00000000901	Dlg3
ENSMUSP00000000904	Gnb1l
ENSMUSP00000000910	Dbh
ENSMUSP00000000924	Mmp11
ENSMUSP00000000925	Smarcb1
ENSMUSP00000000926	Vpreb3
ENSMUSP00000000939	Hip1r
ENSMUSP00000000940	Nsun5
ENSMUSP00000000958	Top1mt
ENSMUSP00000000964	Hoxa1
ENSMUSP00000000984	Slc7a7
ENSMUSP00000000985	Oxa1l
ENSMUSP00000001002	Heatr6
ENSMUSP00000001008	Ccl3
ENSMUSP00000001009	Wfdc18
ENSMUSP00000001027	Aox1
ENSMUSP00000001036	Tyk2
ENSMUSP00000001040	Icam4
ENSMUSP00000001042	Ilf2
ENSMUSP00000001043	Chtop
ENSMUSP00000001046	S100a4
ENSMUSP00000001047	S100a3
ENSMUSP00000001049	S100a5
ENSMUSP00000001051	S100a6
ENSMUSP00000001055	Icam2
ENSMUSP00000001059	Ern1
ENSMUSP00000001063	Epn2
ENSMUSP00000001079	Sec24b
ENSMUSP00000001080	N4bp3
ENSMUSP00000001081	Rmnd5b
ENSMUSP00000001092	Zfp276
ENSMUSP00000001108	Add1
ENSMUSP00000001109	Mfsd10
ENSMUSP00000001112	Grk4
ENSMUSP00000001115	Grk6
ENSMUSP00000001116	Luzp1
ENSMUSP00000001122	Slc13a2
ENSMUSP00000001125	Kctd10
ENSMUSP00000001126	Slc46a1
ENSMUSP00000001127	Poldip2
ENSMUSP00000001130	Sebox
