from	to
0610010K14Rik	ENSMUSG00000020831
0610040J01Rik	ENSMUSG00000060512
1110038B12Rik	ENSMUSG00000092203
1110059E24Rik	ENSMUSG00000035171
1110059G10Rik	ENSMUSG00000032551
1500009L16Rik	ENSMUSG00000087651
1600012H06Rik	ENSMUSG00000050088
1600014C10Rik	ENSMUSG00000054676
1600020E01Rik	ENSMUSG00000097048
1700001O22Rik	ENSMUSG00000044320
1700003E16Rik	ENSMUSG00000030030
1700003F12Rik	ENSMUSG00000038523
1700006A11Rik	ENSMUSG00000027973
1700008O03Rik	ENSMUSG00000008028
1700008P02Rik	ENSMUSG00000069118
1700009J07Rik	ENSMUSG00000096573
1700010B08Rik	ENSMUSG00000057047
1700010I14Rik	ENSMUSG00000023873
1700012A03Rik	ENSMUSG00000029766
1700012B09Rik	ENSMUSG00000031927
1700013H16Rik	ENSMUSG00000054727
1700016H13Rik	ENSMUSG00000029320
1700016L21Rik	ENSMUSG00000101483
1700017B05Rik	ENSMUSG00000032300
1700017N19Rik	ENSMUSG00000056912
1700018B08Rik	ENSMUSG00000031809
1700019D03Rik	ENSMUSG00000043629
1700020A23Rik	ENSMUSG00000027409
1700020L13Rik	ENSMUSG00000013928
1700020N01Rik	ENSMUSG00000050844
1700025G04Rik	ENSMUSG00000032666
1700026J12Rik	ENSMUSG00000073976
1700028E10Rik	ENSMUSG00000097321
1700028K03Rik	ENSMUSG00000089798
1700029F12Rik	ENSMUSG00000052075
1700029H14Rik	ENSMUSG00000031452
1700030J22Rik	ENSMUSG00000031847
1700030K09Rik	ENSMUSG00000052794
1700034E13Rik	ENSMUSG00000024532
1700034J05Rik	ENSMUSG00000040163
1700037C18Rik	ENSMUSG00000005983
1700045H11Rik	ENSMUSG00000078492
1700067K01Rik	ENSMUSG00000046408
1700069L16Rik	ENSMUSG00000042184
1700086L19Rik	ENSMUSG00000071265
1700088E04Rik	ENSMUSG00000033029
1700093K21Rik	ENSMUSG00000020286
1700094J05Rik	ENSMUSG00000101695
1700102P08Rik	ENSMUSG00000032611
1700123O20Rik	ENSMUSG00000040822
1810009J06Rik	ENSMUSG00000094808
1810010H24Rik	ENSMUSG00000078607
1810037I17Rik	ENSMUSG00000054091
1810055G02Rik	ENSMUSG00000035372
1810063I02Rik	ENSMUSG00000085551
2010003K11Rik	ENSMUSG00000042041
2010109A12Rik	ENSMUSG00000029384
2210016L21Rik	ENSMUSG00000029559
2210408F21Rik	ENSMUSG00000087380
2210408I21Rik	ENSMUSG00000071252
2300002M23Rik	ENSMUSG00000039269
2300009A05Rik	ENSMUSG00000032403
2310009B15Rik	ENSMUSG00000079283
2310011J03Rik	ENSMUSG00000020133
2310022A10Rik	ENSMUSG00000049643
2310022B05Rik	ENSMUSG00000031983
2310039H08Rik	ENSMUSG00000062619
2310039L15Rik	ENSMUSG00000100550
2310057J18Rik	ENSMUSG00000015519
2310057M21Rik	ENSMUSG00000040177
2310061I04Rik	ENSMUSG00000050705
2310065F04Rik	ENSMUSG00000087410
2410004P03Rik	ENSMUSG00000071398
2410006H16Rik	ENSMUSG00000086841
2500002B13Rik	ENSMUSG00000096917
2510002D24Rik	ENSMUSG00000071632
2510009E07Rik	ENSMUSG00000043391
2610005L07Rik	ENSMUSG00000071793
2610008E11Rik	ENSMUSG00000060301
2610028H24Rik	ENSMUSG00000009114
2610035D17Rik	ENSMUSG00000087259
2610318N02Rik	ENSMUSG00000049916
2610509F24Rik	ENSMUSG00000103968
2700038G22Rik	ENSMUSG00000097180
2700049A03Rik	ENSMUSG00000034601
2700054A10Rik	ENSMUSG00000117042
2700097O09Rik	ENSMUSG00000062198
2810001G20Rik	ENSMUSG00000087497
2810004N23Rik	ENSMUSG00000031984
2810408A11Rik	ENSMUSG00000018570
2900026A02Rik	ENSMUSG00000051339
2900092C05Rik	ENSMUSG00000030385
3110009E18Rik	ENSMUSG00000026388
3110082I17Rik	ENSMUSG00000053553
3300002A11Rik	ENSMUSG00000033731
3300005D01Rik	ENSMUSG00000096965
3425401B19Rik	ENSMUSG00000071540
3930402G23Rik	ENSMUSG00000038917
4632428C04Rik	ENSMUSG00000097184
4833411C07Rik	ENSMUSG00000109089
4833420G17Rik	ENSMUSG00000062822
4921509C19Rik	ENSMUSG00000061525
4921524J17Rik	ENSMUSG00000036934
4921536K21Rik	ENSMUSG00000020434
4921539E11Rik	ENSMUSG00000028520
4930402F06Rik	ENSMUSG00000079421
4930404H24Rik	ENSMUSG00000079001
4930405D11Rik	ENSMUSG00000085940
4930444P10Rik	ENSMUSG00000067795
4930447C04Rik	ENSMUSG00000021098
4930447F04Rik	ENSMUSG00000031182
4930449E01Rik	ENSMUSG00000022116
4930451I11Rik	ENSMUSG00000045989
4930453N24Rik	ENSMUSG00000059920
4930463O16Rik	ENSMUSG00000020033
4930483K19Rik	ENSMUSG00000086241
4930503L19Rik	ENSMUSG00000044906
4930505A04Rik	ENSMUSG00000040919
4930522H14Rik	ENSMUSG00000060491
4930524B15Rik	ENSMUSG00000020299
4930554H23Rik	ENSMUSG00000097682
4930556N13Rik	ENSMUSG00000092399
4930558K02Rik	ENSMUSG00000086277
4930563E22Rik	ENSMUSG00000053574
4930567H17Rik	ENSMUSG00000073141
4930568D16Rik	ENSMUSG00000026882
4930579F01Rik	ENSMUSG00000012042
4930579G24Rik	ENSMUSG00000027811
4930590J08Rik	ENSMUSG00000034063
4930591A17Rik	ENSMUSG00000039138
4931406C07Rik	ENSMUSG00000031938
4931414P19Rik	ENSMUSG00000022179
4931422A03Rik	ENSMUSG00000046085
4931429L15Rik	ENSMUSG00000056617
4932414N04Rik	ENSMUSG00000079324
4933402J07Rik	ENSMUSG00000069971
4933402N03Rik	ENSMUSG00000013668
4933405L10Rik	ENSMUSG00000013158
4933411K16Rik	ENSMUSG00000090369
4933412E24Rik	ENSMUSG00000071749
4933425B07Rik	ENSMUSG00000115665
4933427D06Rik	ENSMUSG00000055403
4933427D14Rik	ENSMUSG00000107877
4933428G20Rik	ENSMUSG00000047988
4933430I17Rik	ENSMUSG00000058046
4933434E20Rik	ENSMUSG00000027942
4933436I01Rik	ENSMUSG00000025288
5031439G07Rik	ENSMUSG00000036046
5330434G04Rik	ENSMUSG00000087620
5430431A17Rik	ENSMUSG00000108322
5730403I07Rik	ENSMUSG00000099170
5730455P16Rik	ENSMUSG00000057181
6030458C11Rik	ENSMUSG00000022195
6030468B19Rik	ENSMUSG00000025573
6330403K07Rik	ENSMUSG00000018451
6430548M08Rik	ENSMUSG00000031824
6820408C15Rik	ENSMUSG00000032680
6820431F20Rik	ENSMUSG00000071796
7630403G23Rik	ENSMUSG00000098758
8030474K03Rik	ENSMUSG00000046774
9030622O22Rik	ENSMUSG00000086141
9330159F19Rik	ENSMUSG00000004360
9430015G10Rik	ENSMUSG00000059939
9430038I01Rik	ENSMUSG00000040139
9530068E07Rik	ENSMUSG00000036275
9630013A20Rik	ENSMUSG00000115529
9930012K11Rik	ENSMUSG00000044551
A130010J15Rik	ENSMUSG00000079144
A1bg	ENSMUSG00000022347
A1cf	ENSMUSG00000052595
A2m	ENSMUSG00000030111
A2ml1	ENSMUSG00000047228
A3galt2	ENSMUSG00000028794
A430005L14Rik	ENSMUSG00000047613
A430033K04Rik	ENSMUSG00000056014
A4galt	ENSMUSG00000047878
A4gnt	ENSMUSG00000037953
A530016L24Rik	ENSMUSG00000043122
A830005F24Rik	ENSMUSG00000053181
A830018L16Rik	ENSMUSG00000057715
A830019P07Rik	ENSMUSG00000094707
A830031A19Rik	ENSMUSG00000055010
A930003A15Rik	ENSMUSG00000075330
A930004D18Rik	ENSMUSG00000054057
A930024E05Rik	ENSMUSG00000056735
AA467197	ENSMUSG00000033213
AA986860	ENSMUSG00000042510
AB124611	ENSMUSG00000057191
AI182371	ENSMUSG00000035875
AI467606	ENSMUSG00000045165
AI593442	ENSMUSG00000078307
AI597479	ENSMUSG00000010290
AI837181	ENSMUSG00000047423
AI847159	ENSMUSG00000084826
AU018091	ENSMUSG00000054753
AU021092	ENSMUSG00000051669
AU040320	ENSMUSG00000028830
AW112010	ENSMUSG00000075010
AW554918	ENSMUSG00000033632
Aaas	ENSMUSG00000036678
Aacs	ENSMUSG00000029482
Aadac	ENSMUSG00000027761
Aadacl2	ENSMUSG00000091376
Aadacl2fm2	ENSMUSG00000090527
Aadacl2fm3	ENSMUSG00000095522
Aadacl4	ENSMUSG00000070609
Aadacl4fm1	ENSMUSG00000028593
Aadacl4fm2	ENSMUSG00000078506
Aadacl4fm5	ENSMUSG00000078504
Aadat	ENSMUSG00000057228
Aagab	ENSMUSG00000037257
Aak1	ENSMUSG00000057230
Aamdc	ENSMUSG00000035642
Aamp	ENSMUSG00000006299
Aanat	ENSMUSG00000020804
Aard	ENSMUSG00000068522
Aars1	ENSMUSG00000031960
Aars2	ENSMUSG00000023938
Aarsd1	ENSMUSG00000075528
Aasdh	ENSMUSG00000055923
Aasdhppt	ENSMUSG00000025894
Aass	ENSMUSG00000029695
Aatf	ENSMUSG00000018697
Aatk	ENSMUSG00000025375
Abat	ENSMUSG00000057880
Abca1	ENSMUSG00000015243
Abca12	ENSMUSG00000050296
Abca13	ENSMUSG00000004668
Abca14	ENSMUSG00000062017
Abca15	ENSMUSG00000054746
Abca16	ENSMUSG00000051900
Abca17	ENSMUSG00000035435
Abca2	ENSMUSG00000026944
Abca3	ENSMUSG00000024130
Abca4	ENSMUSG00000028125
Abca5	ENSMUSG00000018800
Abca6	ENSMUSG00000044749
Abca7	ENSMUSG00000035722
Abca8a	ENSMUSG00000041828
Abca8b	ENSMUSG00000020620
Abca9	ENSMUSG00000041797
Abcb10	ENSMUSG00000031974
Abcb11	ENSMUSG00000027048
Abcb1a	ENSMUSG00000040584
Abcb1b	ENSMUSG00000028970
Abcb4	ENSMUSG00000042476
Abcb5	ENSMUSG00000072791
Abcb6	ENSMUSG00000026198
Abcb7	ENSMUSG00000031333
Abcb8	ENSMUSG00000028973
Abcb9	ENSMUSG00000029408
Abcc1	ENSMUSG00000023088
Abcc10	ENSMUSG00000032842
Abcc12	ENSMUSG00000036872
Abcc2	ENSMUSG00000025194
Abcc3	ENSMUSG00000020865
Abcc4	ENSMUSG00000032849
Abcc5	ENSMUSG00000022822
Abcc6	ENSMUSG00000030834
Abcc8	ENSMUSG00000040136
Abcc9	ENSMUSG00000030249
Abcd1	ENSMUSG00000031378
Abcd2	ENSMUSG00000055782
Abcd3	ENSMUSG00000028127
Abcd4	ENSMUSG00000021240
Abce1	ENSMUSG00000058355
Abcf1	ENSMUSG00000038762
Abcf2	ENSMUSG00000028953
Abcf3	ENSMUSG00000003234
Abcg1	ENSMUSG00000024030
Abcg2	ENSMUSG00000029802
Abcg3	ENSMUSG00000029299
Abcg4	ENSMUSG00000032131
Abcg5	ENSMUSG00000040505
Abcg8	ENSMUSG00000024254
Abhd10	ENSMUSG00000033157
Abhd11	ENSMUSG00000040532
Abhd11os	ENSMUSG00000085042
Abhd12	ENSMUSG00000032046
Abhd12b	ENSMUSG00000090121
Abhd13	ENSMUSG00000040396
Abhd14a	ENSMUSG00000042210
