from	to
A00127	MELTF
A00469	ENSG00000285947
A07801	IL2RB
A12179	SOD2
A12295	PRKAR1A
A16796	PSMA1
A17362	ST6GAL1
A18411	PGF
A18589	CD46
A20359	RYR1
A21860	CLIP1
A22096	PLG
A22422	CACNA1D
A22424	CACNA1E
A22493	F9
A22928	CACNA1C
A22940	CACNA1D
A22942	CACNA1D
A22944	CACNA1A
A22946	CACNA1A
A22948	CACNA1A
A23753	TGFB3
A25270	IK
A25486	TRBV11-3
A26494	IDUA
A28104	GABRA5
A28108	GABRB2
AB000220	SEMA3C
AB000275	DLGAP2
AB000276	DLGAP1
AB000409	MKNK1
AB000449	VRK1
AB000462	SH3BP2
AB000463	SH3BP2
AB000464	NOP14-AS1
AB000465	NOP14-AS1
AB000466	NOP14-AS1
AB000468	RNF4
AB000516	SUPT5H
AB000520	SH2B2
AB000624	MGAT4B
AB000635	PPP2R5D
AB000781	KNDC1
AB000815	BMAL1
AB000816	BMAL1
AB001025	RYR3
AB001104	VSNL1
AB001106	GMFB
AB001328	SLC15A1
AB001451	SHC2
AB001895	ARID1A
AB001993	GMFG
AB002107	PER1
AB002135	GPAA1
AB002292	KBTBD11-OT1
AB002294	ZNF646
AB002296	TRIM66
AB002301	MAST4
AB002302	KMT2B
AB002304	CIC
AB002305	ARNT2
AB002307	ENSG00000282034
AB002307	SRCAP
AB002308	SEC16A
AB002310	HUWE1
AB002314	FRMPD4
AB002315	AREL1
AB002316	RIMBP2
AB002318	TLN2
AB002319	ZFYVE26
AB002320	HECW1
AB002322	SRRM2
AB002323	DYNC1H1
AB002326	ALMS1
AB002332	CLOCK
AB002333	ZNF518A
AB002334	GCC2
AB002335	ARHGEF17
AB002336	EPB41L1
AB002337	SETD1A
AB002340	TRANK1
AB002344	KDM6B
AB002345	PER2
AB002348	CLEC16A
AB002353	GARRE1
AB002354	PLEKHM1
AB002355	DNAH9
AB002358	SALL2
AB002360	MCF2L
AB002362	IGSF1
AB002366	ECPAS
AB002368	XPO6
AB002370	SKIC3
AB002371	CEP290
AB002372	SNPH
AB002376	ERC2
AB002377	ANKRD28
AB002379	DAAM2
AB002382	ENSG00000288534
AB002383	ZMYM3
AB002384	RIPOR2
AB002387	MYO6
AB002388	ZNF536
AB002405	TMC6
AB002409	CCL21
AB002440	ATG12
AB002534	BAP1
AB002806	OS9
AB003062	PPP1R12B
AB003063	DPYD
AB003177	PSMD9
AB003723	PIGQ
AB004818	EZH1
AB004848	SETD4
AB004853	SETD4
AB004885	TLK1
AB005060	NRG2
AB005142	KL
AB005289	ABCB7
AB005293	PLIN1
AB005297	ADGRB1
AB005298	ADGRB2
AB005535	CLOCK
AB005543	MCM3AP
AB005622	AK2
AB005894	LGALS9
AB006190	AQP7
AB006532	RECQL4
AB006623	C2CD2L
AB006626	HDAC4
AB006628	FCHO1
AB006629	CLIP2
AB006630	TCF20
AB006651	MED14
AB006679	TXNDC9
AB006683	AIRE
AB006685	AIRE
AB006757	PCDH7
AB006782	LGALS9
AB006955	USH1C
AB006965	DNM1L
AB006969	GPAA1
AB006972	PLK4
AB007042	EXTL3
AB007144	DAPK3
AB007295	GLI2
AB007296	GLI2
AB007297	GLI2
AB007298	GLI2
AB007455	TP53TG1
AB007456	TP53TG1
AB007457	TP53TG1
AB007510	PRPF8
AB007618	COX7A2L
AB007836	TGFB1I1
AB007854	GAS7
AB007855	ZHX3
AB007857	SGSM2
AB007862	PCNT
AB007866	TTI1
AB007867	PLXNB1
AB007868	KIAA0408
AB007870	NUP58
AB007875	AP5Z1
AB007876	LRRTM2
AB007877	HSPA12A
AB007878	SH3PXD2A
AB007880	SEC14L5
AB007884	ARHGEF9
AB007886	ZSCAN12
AB007888	MBNL1
AB007891	ATMIN
AB007893	PPIP5K2
AB007895	PCNX2
AB007896	PREPL
AB007898	PJA2
AB007899	NEDD4L
AB007901	ZBTB24
AB007902	AUTS2
AB007914	CROCC
AB007917	HS2ST1
AB007920	CDC42BPA
AB007921	TTC39A
AB007922	VPS13D
AB007923	PDE4DIP
AB007927	RERE
AB007934	MACF1
AB007936	SZT2
AB007937	SDC3
AB007938	KLHL21
AB007945	DENND4B
AB007949	CEP350
AB007957	SNX27
AB007958	TMEM63A
AB007962	LINC00869
AB007963	EFCAB14
AB007964	GFOD3P
AB007965	ZFTRAF1
AB007971	ENSG00000237390
AB008226	FKTN
AB008430	FARP1
AB008492	LGALS9
AB008515	RANBP9
AB008567	SPTBN2
