from	to
5S_rRNA	DJ443013
5S_rRNA	ENSG00000278779
5S_rRNA	ENSG00000266653
5S_rRNA	ENSG00000285776
5S_rRNA	ENSG00000277395
5S_rRNA	ENSG00000277488
5S_rRNA	ENSG00000265816
5S_rRNA	ENSG00000283454
5S_rRNA	ENSG00000266035
5S_rRNA	ENSG00000266726
5S_rRNA	ENSG00000263418
5S_rRNA	ENSG00000275780
5S_rRNA	ENSG00000273928
5S_rRNA	LP895948
5S_rRNA	ENSG00000288601
5S_rRNA	ENSG00000277584
5S_rRNA	JC506668
5S_rRNA	ENSG00000277411
5S_rRNA	ENSG00000276861
5S_rRNA	ENSG00000266615
5S_rRNA	ENSG00000278457
5S_rRNA	ENSG00000285674
5S_rRNA	LF383645
5S_rRNA	ENSG00000285626
5S_rRNA	ENSG00000285609
5S_rRNA	ENSG00000285912
5S_rRNA	ENSG00000275999
5_8S_rRNA	DQ582566
5_8S_rRNA	ENSG00000273730
5_8S_rRNA	ENSG00000276871
5_8S_rRNA	ENSG00000278294
5_8S_rRNA	ENSG00000283568
5_8S_rRNA	ENSG00000283291
5_8S_rRNA	ENSG00000277739
5_8S_rRNA	ENSG00000275757
5_8S_rRNA	KY994077
5_8S_rRNA	CR749662
5_8S_rRNA	ENSG00000275877
5_8S_rRNA	ENSG00000283274
7SK	ENSG00000275933
7SK	AK123736
7SK	ENSG00000271394
7SK	ENSG00000265633
7SK	ENSG00000276626
7SK	ENSG00000266263
7SK	ENSG00000274262
7SK	ENSG00000277313
7SK	JD020747
7SK	LF213950
7SK	ENSG00000265903
7SK	ENSG00000273591
7SK	ENSG00000264415
7SK	ENSG00000291974
7SK	ENSG00000265255
7SK	ENSG00000274303
7SK	ENSG00000202198
A1BG	AB073611
A1BG	AK055885
A1BG	AK056201
A1BG	NM_130786
A1BG	ENSG00000121410
A1BG-AS1	NR_015380
A1BG-AS1	AK027222
A1BG-AS1	BC040926
A1BG-AS1	ENSG00000268895
A1CF	NM_001370130
A1CF	NM_001198819
A1CF	AF271789
A1CF	NM_014576
A1CF	NM_001198820
A1CF	NM_138932
A1CF	AK291982
A1CF	NM_138933
A1CF	ENSG00000148584
A2M	LP895858
A2M	BC026246
A2M	ENSG00000175899
A2M	NM_001347425
A2M	AK307832
A2M-AS1	NR_137425
A2M-AS1	AK056852
A2M-AS1	ENSG00000245105
A2ML1	AK122624
A2ML1	AK096448
A2ML1	AK123592
A2ML1	AK057908
A2ML1	NM_144670
A2ML1	ENSG00000166535
A2ML1	AK302555
A2ML1	NM_001282424
A2ML1-AS1	NR_046715
A2ML1-AS1	ENSG00000256661
A2ML1-AS2	ENSG00000256904
A2MP1	NR_040112
A2MP1	ENSG00000291190
A2MP1	LP895860
A2MP1	ENSG00000256069
A3GALT2	ENSG00000184389
A3GALT2	NM_001080438
A4GALT	AK312927
A4GALT	BC055286
A4GALT	NR_146459
A4GALT	ENSG00000128274
A4GALT	NM_017436
A4GALT	BC017068
A4GALT	NM_001318038
A4GNT	ENSG00000118017
A4GNT	NM_016161
AA06	NR_037584
AA06	ENSG00000265544
AAAS	AL110160
AAAS	ENSG00000094914
AAAS	DQ893864
AAAS	BC000659
AAAS	AK094302
AAAS	NM_001173466
AAAS	NM_015665
AAAS	AF226048
AAAS	AJ289857
AAAS	ENSG00000291836
AACS	BC036694
AACS	LC496448
AACS	AK024760
AACS	NR_183033
AACS	AY091468
AACS	AK123245
AACS	AK304176
AACS	BC040574
AACS	ENSG00000081760
AACSP1	ENSG00000291019
AACSP1	NR_135095
AACSP1	ENSG00000250420
AACSP1	BC144474
AADAC	ENSG00000114771
AADAC	NM_001086
AADAC	L32179
AADACL2	NM_207365
AADACL2	BX647585
AADACL2	ENSG00000261846
AADACL2	ENSG00000197953
AADACL2-AS1	NR_110202
AADACL2-AS1	ENSG00000242908
AADACL2-AS1	ENSG00000262466
AADACL3	ENSG00000188984
AADACL3	NM_001103170
AADACL3	NR_111984
AADACL4	NM_001013630
AADACL4	ENSG00000204518
AADACP1	BC014344
AADACP1	ENSG00000291076
AADACP1	NR_026915
AADACP1	ENSG00000240602
AADAT	AK314729
