from	to
NC_012920	ENSG00000210082
NG_000002	ENSG00000211637
NG_000002	ENSG00000254029
NG_000002	ENSG00000211640
NG_000002	ENSG00000211676
NG_000002	ENSG00000211638
NG_000002	ENSG00000222037
NG_000002	ENSG00000253823
NG_000002	ENSG00000253889
NG_000002	ENSG00000254175
NG_000002	ENSG00000253329
NG_000002	ENSG00000211658
NG_000002	ENSG00000254308
NG_000002	ENSG00000253239
NG_000002	ENSG00000211652
NG_000002	ENSG00000254355
NG_000002	ENSG00000211668
NG_000002	ENSG00000211677
NG_000002	ENSG00000253935
NG_000002	ENSG00000211679
NG_000002	ENSG00000211644
NG_000002	ENSG00000211673
NG_000002	ENSG00000211647
NG_000002	ENSG00000253794
NG_000002	ENSG00000211665
NG_000002	ENSG00000223350
NG_000002	ENSG00000254161
NG_000002	ENSG00000211667
NG_000002	ENSG00000253637
NG_000002	ENSG00000253234
NG_000002	ENSG00000253818
NG_000002	ENSG00000228050
NG_000002	ENSG00000211675
NG_000002	ENSG00000211651
NG_000002	ENSG00000253631
NG_000002	ENSG00000211662
NG_000002	ENSG00000211649
NG_000002	ENSG00000253874
NG_000002	ENSG00000211666
NG_000002	ENSG00000253752
NG_000002	ENSG00000253448
NG_000002	ENSG00000254240
NG_000002	ENSG00000211682
NG_000002	ENSG00000253152
NG_000002	ENSG00000211663
NG_000002	ENSG00000211639
NG_000002	ENSG00000253913
NG_000002	ENSG00000253779
NG_000002	ENSG00000211674
NG_000002	ENSG00000253338
NG_000002	ENSG00000253963
NG_000002	ENSG00000211659
NG_000002	ENSG00000211664
NG_000002	ENSG00000254073
NG_000002	ENSG00000211657
NG_000002	ENSG00000211680
NG_000002	ENSG00000253451
NG_000002	ENSG00000211645
NG_000002	ENSG00000211653
NG_000002	ENSG00000278196
NG_000002	ENSG00000253546
NG_000002	ENSG00000253242
NG_000002	ENSG00000211685
NG_000002	ENSG00000211681
NG_000002	ENSG00000211650
NG_000002	ENSG00000215456
NG_000002	ENSG00000211642
NG_000002	ENSG00000253590
NG_000002	ENSG00000211670
NG_000002	ENSG00000253920
NG_000002	ENSG00000211661
NG_000002	ENSG00000253126
NG_000002	ENSG00000254075
NG_000002	ENSG00000253786
NG_000002	ENSG00000211648
NG_000002	ENSG00000211641
NG_000002	ENSG00000211678
NG_000002	ENSG00000211654
NG_000002	ENSG00000254030
NG_000002	ENSG00000226420
NG_000002	ENSG00000253120
NG_000002	ENSG00000211669
NG_000002	ENSG00000253822
NG_000002	ENSG00000211643
NG_000002	ENSG00000230821
NG_000002	ENSG00000211660
NG_000002	ENSG00000211655
NG_000002	ENSG00000254077
NG_000002	ENSG00000211684
NG_000002	ENSG00000211672
NG_000002	ENSG00000211656
NG_000008	ENSG00000224476
NG_000018	ENSG00000225438
NG_000833	ENSG00000239975
NG_000833	ENSG00000251546
NG_000833	ENSG00000253501
NG_000833	ENSG00000211632
NG_000833	ENSG00000232747
NG_000833	ENSG00000253191
NG_000833	ENSG00000242766
NG_000833	ENSG00000253127
NG_000833	ENSG00000253906
NG_000833	ENSG00000239819
NG_000833	ENSG00000241566
NG_000833	ENSG00000253765
NG_000833	ENSG00000253999
NG_000833	ENSG00000224607
NG_000833	ENSG00000239571
NG_000833	ENSG00000243264
NG_000833	ENSG00000211633
NG_000833	ENSG00000250036
NG_000833	ENSG00000225523
NG_000833	ENSG00000211625
NG_000833	ENSG00000254345
NG_000833	ENSG00000242534
NG_000833	ENSG00000254292
NG_000833	ENSG00000211623
NG_000833	ENSG00000251039
NG_000833	ENSG00000278857
NG_000833	ENSG00000241244
NG_000833	ENSG00000254220
NG_000833	ENSG00000254009
NG_000833	ENSG00000254097
NG_000833	ENSG00000253365
NG_000833	ENSG00000242580
NG_000833	ENSG00000224041
NG_000833	ENSG00000276566
NG_000833	ENSG00000211626
NG_000833	ENSG00000228325
NG_000834	ENSG00000243063
NG_000834	ENSG00000253625
NG_000834	ENSG00000253461
NG_000834	ENSG00000239951
NG_000834	ENSG00000211594
NG_000834	ENSG00000197794
NG_000834	ENSG00000211597
NG_000834	ENSG00000254157
NG_000834	ENSG00000211598
NG_000834	ENSG00000240671
NG_000834	ENSG00000240864
NG_000834	ENSG00000241351
NG_000834	ENSG00000253592
NG_000834	ENSG00000253870
NG_000834	ENSG00000242076
NG_000834	ENSG00000211592
NG_000834	ENSG00000239862
NG_000834	ENSG00000254098
NG_000834	ENSG00000253732
NG_000834	ENSG00000253497
NG_000834	ENSG00000253998
NG_000834	ENSG00000244437
NG_000834	ENSG00000253578
NG_000834	ENSG00000253435
NG_000834	ENSG00000253158
NG_000834	ENSG00000211595
NG_000834	ENSG00000243290
NG_000834	ENSG00000244575
NG_000834	ENSG00000211596
NG_000834	ENSG00000242371
NG_000834	ENSG00000240382
NG_000834	ENSG00000253278
NG_000834	ENSG00000211593
NG_000834	ENSG00000211611
NG_000834	ENSG00000253487
NG_000834	ENSG00000253202
NG_000834	ENSG00000244116
NG_000834	ENSG00000239855
NG_000834	ENSG00000253860
NG_000834	ENSG00000243238
NG_000834	ENSG00000243466
NG_000834	ENSG00000273962
NG_000834	ENSG00000241294
NG_000834	ENSG00000211599
NG_000834	ENSG00000241755
NG_000834	ENSG00000253265
NG_000837	ENSG00000230064
NG_000839	ENSG00000277975
NG_000840	ENSG00000220267
NG_000842	ENSG00000215388
NG_000843	ENSG00000236136
NG_000845	ENSG00000223922
NG_000846	ENSG00000213487
NG_000847	ENSG00000227881
NG_000848	ENSG00000215583
NG_000849	ENSG00000271707
NG_000850	ENSG00000175730
NG_000858	ENSG00000188985
NG_000862	ENSG00000214077
NG_000863	ENSG00000251596
NG_000866	ENSG00000225422
NG_000867	ENSG00000223391
NG_000869	ENSG00000224796
NG_000870	ENSG00000214018
NG_000871	ENSG00000235598
NG_000874	ENSG00000232794
NG_000876	ENSG00000218690
NG_000877	ENSG00000228149
NG_000878	ENSG00000214914
NG_000880	ENSG00000224060
NG_000881.2	ENSG00000225117
NG_000882	ENSG00000270858
NG_000883	ENSG00000250011
NG_000884	ENSG00000237194
NG_000885	ENSG00000182965
NG_000890	ENSG00000256338
NG_000891	ENSG00000227063
NG_000892	ENSG00000231261
NG_000893	ENSG00000236477
NG_000895	ENSG00000237049
NG_000897	ENSG00000132967
NG_000899	ENSG00000214976
NG_000902	ENSG00000214867
NG_000903	ENSG00000215088
NG_000904	ENSG00000233206
NG_000906	ENSG00000229761
NG_000908	ENSG00000214326
NG_000909	ENSG00000176054
NG_000910	ENSG00000212932
NG_000911	ENSG00000217026
NG_000912	ENSG00000189089
NG_000916	ENSG00000235701
NG_000917	ENSG00000226543
NG_000919	ENSG00000229880
NG_000921	ENSG00000229046
NG_000922	ENSG00000213440
NG_000924.4	ENSG00000233300
NG_000926	ENSG00000223822
NG_000927	ENSG00000228314
NG_000930	ENSG00000230870
NG_000933	ENSG00000233347
NG_000938	ENSG00000257844
NG_000940	ENSG00000274928
NG_000941	ENSG00000226776
NG_000942	ENSG00000229351
NG_000943	ENSG00000284883
NG_000944	ENSG00000135477
NG_000945	ENSG00000236992
NG_000946	ENSG00000235508
NG_000948	ENSG00000213492
NG_000949	ENSG00000269800
NG_000950.3	ENSG00000226948
NG_000951	ENSG00000214535
NG_000952	ENSG00000101278
NG_000953	ENSG00000243504
NG_000958	ENSG00000227779
NG_000960	ENSG00000242692
NG_000962	ENSG00000185834
NG_000963	ENSG00000241993
NG_000964	ENSG00000232493
NG_000966	ENSG00000213820
NG_000969.3	ENSG00000228210
NG_000970	ENSG00000225831
NG_000971	ENSG00000214835
NG_000972	ENSG00000235544
NG_000974	ENSG00000235208
NG_000975	ENSG00000227343
NG_000977	ENSG00000225803
NG_000978	ENSG00000233106
NG_000979	ENSG00000231470
NG_000982	ENSG00000227401
NG_000983	ENSG00000230636
NG_000985	ENSG00000226144
NG_000986	ENSG00000215063
NG_000987	ENSG00000234075
NG_000988	ENSG00000226243
NG_000989	ENSG00000237929
NG_000990	ENSG00000228601
NG_000991	ENSG00000229500
NG_000992	ENSG00000237068
NG_000993	ENSG00000224497
NG_000994	ENSG00000231302
NG_000995	ENSG00000232333
NG_000996	ENSG00000230837
NG_000998	ENSG00000225246
NG_000999	ENSG00000213979
NG_001000	ENSG00000224452
NG_001001	ENSG00000213950
NG_001002	ENSG00000226217
NG_001003	ENSG00000235065
NG_001004	ENSG00000231307
NG_001008	ENSG00000224530
NG_001009	ENSG00000215572
NG_001012	ENSG00000267692
NG_001017	ENSG00000215586
NG_001019	ENSG00000237197
NG_001019	ENSG00000211968
NG_001019	ENSG00000253345
NG_001019	ENSG00000253209
NG_001019	ENSG00000211900
NG_001019	ENSG00000211891
NG_001019	ENSG00000211974
NG_001019	ENSG00000253274
NG_001019	ENSG00000211893
NG_001019	ENSG00000253808
NG_001019	ENSG00000253465
NG_001019	ENSG00000224650
NG_001019	ENSG00000211892
NG_001019	ENSG00000253936
NG_001019	ENSG00000242887
NG_001019	ENSG00000211931
NG_001019	ENSG00000211914
NG_001019	ENSG00000253674
NG_001019	ENSG00000211973
NG_001019	ENSG00000283906
NG_001019	ENSG00000228131
NG_001019	ENSG00000211964
NG_001019	ENSG00000253359
NG_001019	ENSG00000211951
NG_001019	ENSG00000231475
NG_001019	ENSG00000254329
NG_001019	ENSG00000253941
NG_001019	ENSG00000254045
NG_001019	ENSG00000283562
NG_001019	ENSG00000211941
NG_001019	ENSG00000211966
NG_001019	ENSG00000211952
NG_001019	ENSG00000253247
NG_001019	ENSG00000211979
NG_001019	ENSG00000282122
NG_001019	ENSG00000274576
NG_001019	ENSG00000253440
NG_001019	ENSG00000211930
NG_001019	ENSG00000211925
NG_001019	ENSG00000253862
NG_001019	ENSG00000211911
NG_001019	ENSG00000253714
NG_001019	ENSG00000211904
NG_001019	ENSG00000211909
NG_001019	ENSG00000236170
NG_001019	ENSG00000253755
NG_001019	ENSG00000253820
NG_001019	ENSG00000253482
NG_001019	ENSG00000253441
NG_001019	ENSG00000254056
NG_001019	ENSG00000253462
NG_001019	ENSG00000211899
NG_001019	ENSG00000229092
NG_001019	ENSG00000253780
NG_001019	ENSG00000211921
NG_001019	ENSG00000254053
NG_001019	ENSG00000253989
NG_001019	ENSG00000211957
NG_001019	ENSG00000233655
NG_001019	ENSG00000254395
NG_001019	ENSG00000253491
NG_001019	ENSG00000211955
NG_001019	ENSG00000237111
NG_001019	ENSG00000211923
NG_001019	ENSG00000270550
NG_001019	ENSG00000253587
NG_001019	ENSG00000254174
NG_001019	ENSG00000254036
NG_001019	ENSG00000253467
NG_001019	ENSG00000224373
NG_001019	ENSG00000211920
NG_001019	ENSG00000253310
NG_001019	ENSG00000211895
NG_001019	ENSG00000278473
NG_001019	ENSG00000283195
NG_001019	ENSG00000211917
NG_001019	ENSG00000253759
NG_001019	ENSG00000211897
NG_001019	ENSG00000254052
NG_001019	ENSG00000254176
NG_001019	ENSG00000253386
NG_001019	ENSG00000232543
NG_001019	ENSG00000237020
NG_001019	ENSG00000225825
NG_001019	ENSG00000211946
NG_001019	ENSG00000254228
NG_001019	ENSG00000254289
NG_001019	ENSG00000253742
NG_001019	ENSG00000211928
NG_001019	ENSG00000211915
NG_001019	ENSG00000253709
NG_001019	ENSG00000253412
NG_001019	ENSG00000253240
NG_001019	ENSG00000275747
NG_001019	ENSG00000253895
NG_001019	ENSG00000225698
NG_001019	ENSG00000276775
NG_001019	ENSG00000240041
NG_001019	ENSG00000253763
NG_001019	ENSG00000211970
NG_001019	ENSG00000253131
NG_001019	ENSG00000253367
NG_001019	ENSG00000223506
NG_001019	ENSG00000227108
NG_001019	ENSG00000227196
NG_001019	ENSG00000211959
NG_001019	ENSG00000211907
NG_001019	ENSG00000211912
NG_001019	ENSG00000254279
NG_001019	ENSG00000211958
NG_001019	ENSG00000253635
NG_001019	ENSG00000253149
NG_001019	ENSG00000211967
NG_001019	ENSG00000223648
NG_001019	ENSG00000232216
NG_001019	ENSG00000211933
NG_001019	ENSG00000211944
NG_001019	ENSG00000275475
NG_001019	ENSG00000211947
NG_001019	ENSG00000211934
NG_001019	ENSG00000236597
NG_001019	ENSG00000211972
NG_001019	ENSG00000211905
NG_001019	ENSG00000253458
NG_001019	ENSG00000227800
NG_001019	ENSG00000254203
NG_001019	ENSG00000211890
NG_001019	ENSG00000211937
NG_001019	ENSG00000242472
NG_001019	ENSG00000253703
NG_001019	ENSG00000253545
NG_001019	ENSG00000254215
NG_001019	ENSG00000280411
NG_001019	ENSG00000211965
NG_001019	ENSG00000237547
NG_001019	ENSG00000211950
NG_001019	ENSG00000253883
NG_001019	ENSG00000270474
NG_001019	ENSG00000281990
NG_001019	ENSG00000211943
NG_001019	ENSG00000211924
NG_001019	ENSG00000211956
NG_001019	ENSG00000211918
NG_001019	ENSG00000211938
NG_001019	ENSG00000211898
NG_001019	ENSG00000253169
NG_001019	ENSG00000253325
NG_001019	ENSG00000211935
NG_001019	ENSG00000227335
NG_001019	ENSG00000211942
NG_001019	ENSG00000253747
NG_001019	ENSG00000211949
NG_001019	ENSG00000254167
NG_001019	ENSG00000253132
NG_001019	ENSG00000254134
NG_001019	ENSG00000211945
NG_001019	ENSG00000270371
NG_001019	ENSG00000253957
NG_001019	ENSG00000253241
NG_001019	ENSG00000253294
NG_001019	ENSG00000211961
NG_001019	ENSG00000282651
NG_001019	ENSG00000253387
NG_001019	ENSG00000283607
NG_001019	ENSG00000254326
NG_001019	ENSG00000211976
NG_001019	ENSG00000211978
NG_001019	ENSG00000254046
NG_001019	ENSG00000211962
NG_001019	ENSG00000211896
NG_001019	ENSG00000253303
NG_001019	ENSG00000283948
NG_001020	ENSG00000228476
NG_001021	ENSG00000213882
