from	to
NP_001001130	Zfp85
NP_001001144	Scap
NP_001001152	Zfp458
NP_001001160	Fbxo41
NP_001001176	Taf9b
NP_001001177	Tsbp1
NP_001001178	Ccdc148
NP_001001179	A2ml1
NP_001001180	Zfp941
NP_001001181	BC031181
NP_001001182	Baz2b
NP_001001183	Tmem204
NP_001001184	Primpol
NP_001001185	BC048507
NP_001001186	Zfp456
NP_001001187	Zfp738
NP_001001295	Dis3l
NP_001001297	Thnsl1
NP_001001309	Itga8
NP_001001319	Pramel4
NP_001001320	Tbx10
NP_001001321	Slc35d2
NP_001001322	Adamts13
NP_001001326	Dennd2b
NP_001001327	Vkorc1l1
NP_001001332	Cstdc6
NP_001001333	Hexd
NP_001001334	Spag6
NP_001001335	Plekha8
NP_001001444	Defb29
NP_001001445	Trpv1
NP_001001446	Cyp2c23
NP_001001447	Zscan22
NP_001001449	Tcstv7a
NP_001001450	Ssxb2
NP_001001451	Tas2r138
NP_001001452	Tas2r143
NP_001001453	Tas2r144
NP_001001454	Ttyh1
NP_001001488	Atp8b1
NP_001001489	Mfsd4b5
NP_001001490	Oxgr1
NP_001001491	Tpm4
NP_001001492	Lca5l
NP_001001493	Wdr83os
NP_001001495	Tnip3
NP_001001496	Gja6
NP_001001559	Usp17ld
NP_001001565	Chpf
NP_001001566	Chpf
NP_001001602	Dab2ip
NP_001001650	Prss48
NP_001001714	Sohlh1
NP_001001735	Nsd3
NP_001001737	Zfp950
NP_001001738	Itprip
NP_001001792	Zfp239
NP_001001796	Drgx
NP_001001798	Atp11c
NP_001001803	Spink7
NP_001001804	Ephx4
NP_001001805	Or51a7
NP_001001806	Zfp36l2
NP_001001807	Or11m3
NP_001001808	Or5au1
NP_001001809	Or10j3
NP_001001810	Or4c11
NP_001001880	Mpzl1
NP_001001881	2510009E07Rik
NP_001001882	Rtel1
NP_001001883	Hecw2
NP_001001884	Nckap5l
NP_001001885	Tmem151a
NP_001001892	H2-K1
NP_001001932	Eea1
NP_001001979	Megf10
NP_001001980	Limch1
NP_001001981	Utp14b
NP_001001982	Ccdc9b
NP_001001983	Pi4ka
NP_001001984	Kdm2a
NP_001001985	Nat8l
NP_001001986	Nol4l
NP_001001999	Gp1bb
NP_001002004	Bltp2
NP_001002005	Panx2
NP_001002008	Zfp948
NP_001002011	Lmna
NP_001002012	Hspa2
